codigo,descripcion,categoria,archivo_foto
BIMEGI,BIBEL MEGA GIGANTE (22 X 10) REYES,Herrajes,BIMEGI.webp
BIBELSEN,BIBEL SENCILLO GALV.,Herrajes,BIBELSEN.webp
BITA,BIBEL TAPADO (REYES),Herrajes,BITA.webp
BOMBOEMB38,"BOMBO EMB. C/BALERO 1 1/2""",POR CLASIFICAR,BOMBOEMB38.webp
BOMBOEMB25,"BOMBO EMB. C/BALERO 1""",POR CLASIFICAR,BOMBOEMB25.webp
BUZONG,BUZON GRANDE (REYES),"Herrería, forja y herrajes",BUZONG.webp
CABUME,BUZON MEDIANO REYES 27 X 22 X 8,"Herrería, forja y herrajes",CABUME.webp
CABALLOFC,CABALLO FO. CO.( 550X370 MM),POR CLASIFICAR,CABALLOFC.webp
CABTCH,CABEZA DE TORO CHICA(200MMX215MM),"Herrería, forja y herrajes",CABTCH.webp
CATOGRA,CABEZA DE TORO GRANDE FO.CO.,"Herrería, forja y herrajes",CATOGRA.webp
VENADO,CABEZA DE VENADO (REYES) 28ALTX29.50 ANCH,"Herrería, forja y herrajes",VENADO.webp
BUZONR,CAJA BUZON PARA REJA,"Herrería, forja y herrajes",BUZONR.webp
BUZONP,CAJA BUZON PARED,"Herrería, forja y herrajes",BUZONP.webp
CALLAM,CALIBRADOR PARA LAMINA,Lamina y cubiertas,CALLAM.webp
CECOCH,CENEFA COLONIAL CHICA(440X260MM)REYES,"Herrería, forja y herrajes",CECOCH.webp
CHESR,CHAPETON ESTRELLA CON REMACHE (REYES),Tornilleria y fijacion,CHESR.webp
CHL25,"CHAPETON LAMINA 1""",Lamina y cubiertas,CHL25.webp
CHL38,"CHAPETON LAMINA 1""1/2",Lamina y cubiertas,CHL38.webp
CHL32,"CHAPETON LAMINA 1""1/4",Lamina y cubiertas,CHL32.webp
CHL13,"CHAPETON LAMINA 1/2""",Lamina y cubiertas,CHL13.webp
CHL50,"CHAPETON LAMINA 2""",Lamina y cubiertas,CHL50.webp
CHL64,"CHAPETON LAMINA 2"" 1/2",Lamina y cubiertas,CHL64.webp
CHL75,"CHAPETON LAMINA 3""",Lamina y cubiertas,CHL75.webp
CHL19,"CHAPETON LAMINA 3/4""",Lamina y cubiertas,CHL19.webp
CHL100,"CHAPETON LAMINA 4""",Lamina y cubiertas,CHL100.webp
CHL150,"CHAPETON LAMINA 6""",Lamina y cubiertas,CHL150.webp
CHALA1M51MM,CHAPETON LATON 1 MOLD. 51 MM,Seguridad (EPP),CHALA1M51MM.webp
CHALA1M89MM,CHAPETON LATON 1 MOLD. 89 MM (NUM4),Seguridad (EPP),CHALA1M89MM.webp
CHALA2M39MM,CHAPETON LATON 2 MOLD. 39 MM,Seguridad (EPP),CHALA2M39MM.webp
CHALA2M46MM,CHAPETON LATON 2 MOLD. 46 MM,Seguridad (EPP),CHALA2M46MM.webp
CHALA2M51MM,CHAPETON LATON 2 MOLD. 51 MM,Seguridad (EPP),CHALA2M51MM.webp
CHALA2M71MM,CHAPETON LATON 2 MOLD. 71 MM,Seguridad (EPP),CHALA2M71MM.webp
CHALACHL39MM,CHAPETON LATON CHICO LISO 39 MM,Acero (barra y placa),CHALACHL39MM.webp
CHAPLA88MM,CHAPETON LATON MEGA 88 MM,Seguridad (EPP),CHAPLA88MM.webp
ELEALUM,ELEVADOR PARA LONA ALUMINIO,"Herrería, forja y herrajes",ELEALUM.webp
ELEBRON,ELEVADOR PARA LONA BRONCE CHICO,"Herrería, forja y herrajes",ELEBRON.webp
ELBRONGRA,ELEVADOR PARA LONA BRONCE GRANDE,"Herrería, forja y herrajes",ELBRONGRA.webp
ESLALUMCEN,ESLABON ALUMINIO CENTRAL,"Herrería, forja y herrajes",ESLALUMCEN.webp
ESLALUMIN,ESLABON ALUMINIO INICIAL,"Herrería, forja y herrajes",ESLALUMIN.webp
ESLALUMTER,ESLABON ALUMINIO TERMINAL,"Herrería, forja y herrajes",ESLALUMTER.webp
ESCA4,"ESQUINERO CANTONERO 4""",Herrajes,ESCA4.webp
ESGA11/2,"ESQUINERO GALVANIZADO 1 1/2""",Herrajes,ESGA11-2.webp
ESGA1,"ESQUINERO GALVANIZADO 1""",Herrajes,ESGA1.webp
ESGA2,"ESQUINERO GALVANIZADO 2""",Herrajes,ESGA2.webp
ESGA3,"ESQUINERO GALVANIZADO 3""",Herrajes,ESGA3.webp
ESGA4,"ESQUINERO GALVANIZADO 4""",Herrajes,ESGA4.webp
FIGFCECH,FIGURA DE FO CO. ESCALERA CHICA(30X.17CM)FIFIVAQ06,Forja artistica,FIGFCECH.webp
FIGFCA,FIGURA FO. CO. DE ALCATRAZ,Forja artistica,FIGFCA.webp
FIGFCP/C16,"FIGURA FO.CO P/CUA 5/8""",Forja artistica,FIGFCP-C16.webp
FLEHP5,FLEXOMETRO HIGH POWER DE 5 MT.,Herramienta manual,FLEHP5.webp
FLEHP7.5,FLEXOMETRO HIGH POWER DE 7.5 MT.,Herramienta manual,FLEHP7-5.webp
GARCABDOBLE,GARRUCHA P/CABLE DOBLE N0.6,Electrico e iluminacion,GARCABDOBLE.webp
GARCABSENC,GARRUCHA P/CABLE SENCILLA N0.6,Electrico e iluminacion,GARCABSENC.webp
HERRGDER,HERRADURA GRANDE FO.CO. (43 X 49 ) REYES,"Herrería, forja y herrajes",HERRGDER.webp
HROSAG,HOJA DE ROSA GRANDE(8X4CM),Herramienta manual,HROSAG.webp
JABLVE,JALADERA COLOR BLANCA P/VENTANA CORRED.,Herrajes,JABLVE.webp
JADOVE,JALADERA COLOR DORADA P/ VENTANA CORRED.,Herrajes,JADOVE.webp
JANAVE,JALADERA COLOR NATURAL P/VENTANA CORRED.,Herrajes,JANAVE.webp
JAMO110LA,JALADERA MODELO 110 LATONADA,Herrajes,JAMO110LA.webp
JAMO110NE,JALADERA MODELO 110 NEGRA,Herrajes,JAMO110NE.webp
JAMO110NI,JALADERA MODELO 110 NIQUEL,Herrajes,JAMO110NI.webp
MANCOMDER,MANIJA COMBINADA BCE. P/VENT.DER.,Herrajes,MANCOMDER.webp
MANCOMIZQ,MANIJA COMBINADA BCE. P/VENT.IZQ,Herrajes,MANCOMIZQ.webp
MEDAME,MEDALLON MEDIANO (REYES #C04),"Herrería, forja y herrajes",MEDAME.webp
MEDE32,"MEDIA ESFERA 1 1/4""",Forja artistica,MEDE32.webp
MEDE13,"MEDIA ESFERA 1/2""",Forja artistica,MEDE13.webp
MEDE64,"MEDIA ESFERA 2 1/2""",Forja artistica,MEDE64.webp
MEDE75,"MEDIA ESFERA 3""",Forja artistica,MEDE75.webp
MEDE19,"MEDIA ESFERA 3/4""",Forja artistica,MEDE19.webp
MEDE100,"MEDIA ESFERA 4""",Forja artistica,MEDE100.webp
MEDE150,"MEDIA ESFERA 6""",Forja artistica,MEDE150.webp
NUALCL13,"NUDO DE ALAMBRON P/CUAD. 1/2""","Herrería, forja y herrajes",NUALCL13.webp
NUALRED13,"NUDO DE ALAMBRON P/RED. 1/2""","Herrería, forja y herrajes",NUALRED13.webp
NUALTUBC3013,"NUDO DE ALAMBRON P/TUBO 1/2"" C30",Tuberia y conexiones,NUALTUBC3013.webp
NUALTUBC3019,"NUDO DE ALAMBRON P/TUBO 3/4"" C30",Tuberia y conexiones,NUALTUBC3019.webp
PORCANC,PORTA CANDADO CHICO (REYES),Herramienta manual,PORCANC.webp
PORCANG,PORTA CANDADO GRANDE (REYES),Herramienta manual,PORCANG.webp
RESAN2X2.5CAL8,REJA SAN REHNO 2.00 MTS X 2.50 MTS VERDE C-6,"Alambre, malla y cercas",RESAN2X2-5CAL8.webp
RESAN2.5X2.5C6,REJA SAN REHNO 2.50 MTS X 2.50 MTS VERDE C-6,"Alambre, malla y cercas",RESAN2-5X2-5C6.webp
RE5/161.20D,"RESORTE P/CORTINA 5/16"" X 1.20MTS. DER.","Alambre, malla y cercas",RE5-161-20D.webp
RE5/161.20I,"RESORTE P/CORTINA 5/16"" X 1.20MTS. IZQ.","Alambre, malla y cercas",RE5-161-20I.webp
ROPL41,RODAJA CON PLACA (41MM),Acero (barra y placa),ROPL41.webp
SOLPERC13,"SOLERA PERF. P/CUAD. DE 1/2""",Perfiles estructurales,SOLPERC13.webp
SOLPERC16,"SOLERA PERF. P/CUAD. DE 5/8""",Perfiles estructurales,SOLPERC16.webp
SOLPERR13,"SOLERA PERF. P/RED. 1/2""",Perfiles estructurales,SOLPERR13.webp
SOLPERR16,"SOLERA PERF. P/REDO. 5/8""",Perfiles estructurales,SOLPERR16.webp
TOCAPCAB,TOCA PUERTA CABALLITO,"Herrería, forja y herrajes",TOCAPCAB.webp
TOCAPCAR,TOCA PUERTA CARPINTERO,"Herrería, forja y herrajes",TOCAPCAR.webp
TOCAPHER,TOCA PUERTA HERCULES,"Herrería, forja y herrajes",TOCAPHER.webp
TOCAPLEON,TOCA PUERTA LEON,"Herrería, forja y herrajes",TOCAPLEON.webp
TOPUGR,TOCA PUERTAS GRANDE 28 CM X 28 CM,"Herrería, forja y herrajes",TOPUGR.webp
LLLECH,TOCADOR DE LEON FO.FO. (225X175 MM),Forja artistica,LLLECH.webp
VENCHIDER,VENADO FO. CO. CHICO DER.,"Herrería, forja y herrajes",VENCHIDER.webp
VENCHIIZQ,VENADO FO.CO. CHICO IZQ.,"Herrería, forja y herrajes",VENCHIIZQ.webp
LGZR3.05E,GALVATUBING LAM.GALV. Z ALUM REC 3.05,Lámina y cubiertas,LGZR3-05E.webp
LGZR3.66E,GALVATUBING LAM.GALV. Z ALUM REC 3.66,Lámina y cubiertas,LGZR3-66E.webp
LGZR4.27E,GALVATUBING LAM.GALV. Z ALUM REC 4.27,Lámina y cubiertas,LGZR4-27E.webp
LGZR4.88E,GALVATUBING LAM.GALV. Z ALUM REC 4.88,Lámina y cubiertas,LGZR4-88E.webp
ZR200E,"GALVATUBING RECTANGULAR 2"" X 1"" C-20",Perfiles estructurales,ZR200E.webp
ZR300E,GALVATUBING RECTANGULAR 3 X 1 1/2 C-20,Perfiles estructurales,ZR300E.webp
ZR400E,GALVATUBING RECTANGULAR 4 X 1 1/2 C-20,Perfiles estructurales,ZR400E.webp
CAAGUC24,CANAL AGUA C24 15 CM X3.05M,Perfiles estructurales,CAAGUC24.webp
CAAGU,CANAL AGUA C26 10 CM X3.05M,Perfiles estructurales,CAAGU.webp
DUE2X1.22,DUELA Z. CASCADA  2X 1.22,Lamina y cubiertas,DUE2X1-22.webp
DUE3X1.83,DUELA Z. CASCADA  3 X 1.83,Lamina y cubiertas,DUE3X1-83.webp
DUE1X.91,DUELA Z. CASCADA 1 X .91,Lamina y cubiertas,DUE1X-91.webp
DUE2X1.05,DUELA Z. CASCADA 2X1.05  C-22,Lamina y cubiertas,DUE2X1-05.webp
PZALE,PZA. LATERAL EUROPEA,POR CLASIFICAR,PZALE.webp
PZALAP,PZA. LATERAL PLANA,Herramienta manual,PZALAP.webp
TACASC3X6,TABLERO CAS. CAJA CH. 3X6C-20,Electrico e iluminacion,TACASC3X6.webp
TACAV3X6,TABLERO CAS. EN V 3 X 6,Electrico e iluminacion,TACAV3X6.webp
TACASCG3X320,TABLERO CAS.CAJA GDE. 3X3C-20,Electrico e iluminacion,TACASCG3X320.webp
TACAV3X3,TABLERO CAS.EN V 3 X 3,Electrico e iluminacion,TACAV3X3.webp
TACASL3X6,TABLERO CAS.LIENZO 3 X 6,Electrico e iluminacion,TACASL3X6.webp
TACASL3X3,TABLERO CAS.LIENZO 3X3,Electrico e iluminacion,TACASL3X3.webp
TACASL4X3,TABLERO CAS.LIENZO 4`X 3`,Electrico e iluminacion,TACASL4X3.webp
TACASL4X6,TABLERO CAS.LIENZO 4`X 6`,Electrico e iluminacion,TACASL4X6.webp
TACASCG3X322,TABLERO CASC. CAJA GDE. 3X3C22,Electrico e iluminacion,TACASCG3X322.webp
TACASCG3X620,TABLERO CASC. CAJA GDE. 3X6 C20,Electrico e iluminacion,TACASCG3X620.webp
TACASC3X3C20,TABLERO CASC.CAJA CH. 3X3C20,Electrico e iluminacion,TACASC3X3C20.webp
TABLU3X3,TABLERO MEDIA LUNA 3X3,Electrico e iluminacion,TABLU3X3.webp
TABLU3X6,TABLERO MEDIA LUNA 3X6,Electrico e iluminacion,TABLU3X6.webp
MALLACI1.50CAL.12.50,MALLA CICLON 1.50 MT. ALT./CAL.12.50/20MTS.,"Alambre, malla y cercas",MALLACI1-50CAL-12-50.webp
MALLACI1.75CAL.12.50,MALLA CICLON 1.75 MT. ALT./CAL.12.50/20MTS.,"Alambre, malla y cercas",MALLACI1-75CAL-12-50.webp
MALLACI2CAL.12.50,MALLA CICLON 2.00 MT. ALT./CAL.12.50/20 MTS.,"Alambre, malla y cercas",MALLACI2CAL-12-50.webp
BOQP/CORT-4157,BOQ. P/CORT. OXIG. BUT. SC-50 A-1(5/8)C-4157,Soldadura,BOQP-CORT-4157.webp
4184,BOQ.CORTE OXIBUTANO(4184),Soldadura,4184.webp
BOQUILLA,BOQUILLA NO2,Soldadura y abrasivos,BOQUILLA.webp
BOQP/CORT-4158,BOQUILLA P/CORT. OXIG-BUT.  SC-50 A-2(1 1/4)C-4158,Soldadura y abrasivos,BOQP-CORT-4158.webp
CABLE4,CABLE 4/AWG,Electrico e iluminacion,CABLE4.webp
CARSC400,CARETA PLASTICA SC400 P. GDE(CODIGO-8120),Seguridad (EPP),CARSC400.webp
EQUIPO,EQUIPO INFRA SMITHS EQP51-2CB-SM(4052),POR CLASIFICAR,EQUIPO.webp
GOGLEVM,GOGLE VENTANA MOVIL(8528),Seguridad EPP,GOGLEVM.webp
GUANIN,GUANTE DE NILON TIPO NINJA,Seguridad (EPP),GUANIN.webp
GUACARCR,GUANTES CARNAZA CORTOS REF.,Seguridad (EPP),GUACARCR.webp
MAN15MTP/OXI-ACET,JGO.MANG.CUATA P/OXI-ACET DE 15 MTS.,Herramienta manual,MAN15MTP-OXI-ACET.webp
MAN7.5MTP/OXI-ACET,JGO.MANG.CUATA P/OXI-ACET DE 7.50MTS.,Herramienta manual,MAN7-5MTP-OXI-ACET.webp
GASOL,LENTES P/SOLDADOR 2SG002-C(8185),Herramienta manual,GASOL.webp
MAN50-4812,"MANOMETRO 2"" RANGO 28KG/CM2",POR CLASIFICAR,MAN50-4812.webp
MAN50-4807,"MANOMETRO DE 2"" RANGO 2KG/CM2 (COD-4807)",POR CLASIFICAR,MAN50-4807.webp
MASBOQ,MASCARILLA CON BOQUILLA 1740,Soldadura y abrasivos,MASBOQ.webp
MASCARILLA,MASCARILLA PLEGABLE P/POLVO ( 8326)(8327),Seguridad (EPP),MASCARILLA.webp
MASSEN,MASCARILLA SENCILLA(CODIGO-8288),Seguridad (EPP),MASSEN.webp
MPCLARO,MICA DE POLICAR. CLARO P/SC400(8123),"Herrería, forja y herrajes",MPCLARO.webp
MPS12,MICA DE POLICAR. S-12 (8225),Seguridad (EPP),MPS12.webp
MICA2.5D,MICA TRANSP. 2.5 AUM. DIOPT. (8530),Seguridad (EPP),MICA2-5D.webp
MICA1.5D,MICA TRANSP. AUM. 1.5 DIOPT. (8529),Seguridad (EPP),MICA1-5D.webp
PLASOLTH302,PLANTA DE SOLDAR TH 302,Herramienta electrica,PLASOLTH302.webp
PLASOL130,PLANTA P/SOLD. INFRA ARCTRON 130,Herramienta electrica,PLASOL130.webp
PLASOL160,PLANTA P/SOLD. INFRA ARCTRON 160,Herramienta electrica,PLASOL160.webp
PLASOL300,PLANTA PARA SOLDAR INFRA MI 2-300CD( 3631),Herramienta electrica,PLASOL300.webp
PLASOL225,PLANTA PARA SOLDAR INFRA MI225,Herramienta electrica,PLASOL225.webp
PLASOLMI250L,PLANTA PARA SOLDAR INFRA MI250 L CD(COD-3630),Herramienta electrica,PLASOLMI250L.webp
PE250,PORTAELECTRODO DE 250 AMP. INFRA,Soldadura y abrasivos,PE250.webp
PE300,PORTAELECTRODO DE 300 AMP. INFRA,Soldadura y abrasivos,PE300.webp
MAN-500,PORTAELECTRODO DE 500 AMP. INFRA,Soldadura y abrasivos,MAN-500.webp
PROFAC,PROTECTOR FACIAL 3PF-300(CODIGO-8259),Seguridad EPP,PROFAC.webp
PROOI,PROTECTOR P/OIDOS(8267),Seguridad EPP,PROOI.webp
REGSH1710C,REGULADOR INFRA SMITHS SH 1710-C,Soldadura y abrasivos,REGSH1710C.webp
REPVIS,REPUESTO PARA PRO FACIAL(CODIGO-8005),POR CLASIFICAR,REPVIS.webp
SOLACINOX,"SOLD. ACERO INOX. 1/8""(ARCWEL308-L16)(29PZA)",Acero (barra y placa),SOLACINOX.webp
SOLACINOX3/32308L16,"SOLD. ACERO INOX. 3/32"" 58 PZAS (ARC-WELD308L16)",Acero (barra y placa),SOLACINOX3-32308L16.webp
SOLFOCOE,"SOLD. FO. CO. (ARC.WELD127)1/8"" ECON.(38PZA)(6040)",Soldadura,SOLFOCOE.webp
SOLIN1/8E,SOLDADURA 6013 1/8  INFRA,Soldadura y abrasivos,SOLIN1-8E.webp
SOLIN3/32E,SOLDADURA 6013 3/32  INFRA,Soldadura y abrasivos,SOLIN3-32E.webp
SOLIN7013,"SOLDADURA 7013 1/8""",Soldadura y abrasivos,SOLIN7013.webp
SOLIN7018INF,SOLDADURA 7018 1/8 INFRA (2195),Soldadura y abrasivos,SOLIN7018INF.webp
SOLIN7018-3/32,SOLDADURA 7018 3/32 INFRA,Soldadura y abrasivos,SOLIN7018-3-32.webp
SOLAL1/8,SOLDADURA DE ALUMINIO 1/8(70 PZ KG)2201E-AL-43,Soldadura y abrasivos,SOLAL1-8.webp
SOLDNILOX,"SOLDADURA NILOX FO.CO DE 1/8""( 27 PZA.X KG)",Soldadura y abrasivos,SOLDNILOX.webp
SUSMAT,SUSPENSION MATRACA,Herramienta manual,SUSMAT.webp
TT250,TENAZA P/TIERRA 250 AMP 5T250(8280),Herramienta manual,TT250.webp
TT300,TENAZA P/TIERRA 300 AMP .5T-300(8285),Herramienta manual,TT300.webp
TT500,TENAZA P/TIERRA DE 500 AMP(8290),Herramienta manual,TT500.webp
4526TCA,TUERCA DER-IZQ. 959 R Y L K-P/MANG-T,Tornilleria y fijacion,4526TCA.webp
VICS10,VIDRIO CARETA S-10,Seguridad (EPP),VICS10.webp
VICS11,VIDRIO CARETA S-11,Seguridad (EPP),VICS11.webp
VICS12,VIDRIO CARETA S-12,Seguridad (EPP),VICS12.webp
VICS13,VIDRIO CARETA S-13,Seguridad (EPP),VICS13.webp
VICS14,VIDRIO CARETA S-14,Seguridad (EPP),VICS14.webp
VITRAN,VIDRIO TRANSPARENTE,Lamina y cubiertas,VITRAN.webp
ZAP300,ZAPATA 300 AMPS COD.8295,Soldadura,ZAP300.webp
ZAP500,ZAPATA 500 AMPS COD. 8300 INFRA,Soldadura,ZAP500.webp
AXT-WP26,ANTORCHA P/SOLD. TIG WP26 4.5MTS. AX 200A,Soldadura,AXT-WP26.webp
AXT-SP250EC,ANTORCHA SPOOL GUN-4MTS. AXT-SP250EC 250 AMP,Soldadura,AXT-SP250EC.webp
AXT-BORNEHEM1/2,"BORNE HEMBRA 1/2"" (AX-TECH)",Soldadura (consumibles),AXT-BORNEHEM1-2.webp
AXT-BORNEHEM3/8,"BORNE HEMBRA 3/8"" (AX-TECH)",Soldadura (consumibles),AXT-BORNEHEM3-8.webp
AXT-CEAMERICA,CARETA ELECTRONICA AMERICA AXT,Seguridad (EPP),AXT-CEAMERICA.webp
AXT-CEFRANK,CARETA ELECTRONICA AXT-CEFRANK,Seguridad (EPP),AXT-CEFRANK.webp
AXT-CEMETAL,CARETA ELECTRONICA AXT-CEMETAL,Seguridad (EPP),AXT-CEMETAL.webp
AXT-CEREX,CARETA ELECTRONICA AXT-CEREX,Seguridad (EPP),AXT-CEREX.webp
VOL-CEF1,CARETA ELECTRONICA VOLT CEF1,Seguridad (EPP),VOL-CEF1.webp
VOL-CEDRAGOB,CARETA ELECTRONICA VOLT DRAGON,Seguridad (EPP),VOL-CEDRAGOB.webp
VOL-CELUCHADOR,CARETA ELECTRONICA VOLT LUCHADOR,Seguridad (EPP),VOL-CELUCHADOR.webp
VOL-CEQUETZAL,CARETA ELECTRONICA VOLT QUETZAL,Seguridad (EPP),VOL-CEQUETZAL.webp
AXT-P207LCD,PLANTA P/ SOLDAR  AXT-P207LCD,Herramienta electrica,AXT-P207LCD.webp
AXT-EM207LCD/2,PLANTA P/SOLD.(AXT-EM207LCD/2) C/ANT. TIG (WP26),Herramienta electrica,AXT-EM207LCD-2.webp
VOL-AS110,PLANTA P/SOLD.(VOL-AS110)  VOLT 120 AMP.,Herramienta electrica,VOL-AS110.webp
VOL-PE210TBV,PLANTA P/SOLD.(VOL-PE210TBV) VOLT 200 AMP. COMBO,Herramienta electrica,VOL-PE210TBV.webp
VOL-210TBV,PLANTA P/SOLD.VOLT.110/220  VOL-210TBV,Herramienta electrica,VOL-210TBV.webp
AXT-160TBV,PLANTA P/SOLDAR  (AXT-160) AX TECH 160 AMP.,Herramienta electrica,AXT-160TBV.webp
AXT-P120TC,PLANTA P/SOLDAR  (AXT-P120TC) AX TECH  120 AMP.,Herramienta electrica,AXT-P120TC.webp
ARCOR2,ARCO P/SEGUETA REFORZADO MOD.2,Herramienta manual,ARCOR2.webp
R101H3.05,LAMINA POLICARBONATO HUMO R101 3.05,Lamina y cubiertas,R101H3-05.webp
R101H3.66,LAMINA POLICARBONATO HUMO R101 3.66,Lamina y cubiertas,R101H3-66.webp
R101H4.27,LAMINA POLICARBONATO HUMO R101 4.27,Lamina y cubiertas,R101H4-27.webp
R101P2.44,LAMINA POLICARBONATO R101 2.44,Lamina y cubiertas,R101P2-44.webp
R101P3.05,LAMINA POLICARBONATO R101 3.05,Lamina y cubiertas,R101P3-05.webp
R101P3.66,LAMINA POLICARBONATO R101 3.66,Lamina y cubiertas,R101P3-66.webp
R101P4.27,LAMINA POLICARBONATO R101 4.27,Lamina y cubiertas,R101P4-27.webp
R101P4.88,LAMINA POLICARBONATO R101 4.88,Lamina y cubiertas,R101P4-88.webp
R101P6.10,LAMINA POLICARBONATO R101 6.10,Lamina y cubiertas,R101P6-10.webp
LARC3.05,LAMINA ACRILICA CRISTAL DE 3.05 RECT,Lamina y cubiertas,LARC3-05.webp
LARC3.66,LAMINA ACRILICA CRISTAL DE 3.66 RECT,Lamina y cubiertas,LARC3-66.webp
LARC4.27,LAMINA ACRILICA CRISTAL DE 4.27 RECT,Lamina y cubiertas,LARC4-27.webp
LARC4.88,LAMINA ACRILICA CRISTAL DE 4.88 RECT,Lamina y cubiertas,LARC4-88.webp
LARC5.50,LAMINA ACRILICA CRISTAL DE 5.50 RECT,Lamina y cubiertas,LARC5-50.webp
LARC6.10,LAMINA ACRILICA CRISTAL DE 6.10 RECT,Lamina y cubiertas,LARC6-10.webp
LAO1.83,LAMINA ACRILICO OND 1.83,Lamina y cubiertas,LAO1-83.webp
LAO2.44,LAMINA ACRILICO OND 2.44,Lamina y cubiertas,LAO2-44.webp
LAO3.05,LAMINA ACRILICO OND 3.05,Lamina y cubiertas,LAO3-05.webp
LAO3.66,LAMINA ACRILICO OND 3.66,Lamina y cubiertas,LAO3-66.webp
LAR2.44,LAMINA ACRILICO RECT. 2.44,Lamina y cubiertas,LAR2-44.webp
LAR3.05,LAMINA ACRILICO RECT. 3.05,Lamina y cubiertas,LAR3-05.webp
LAR3.66,LAMINA ACRILICO RECT. 3.66,Lamina y cubiertas,LAR3-66.webp
LAR4.27,LAMINA ACRILICO RECT. 4.27,Lamina y cubiertas,LAR4-27.webp
LAR4.88,LAMINA ACRILICO RECT. 4.88,Lamina y cubiertas,LAR4-88.webp
LAR5.50,LAMINA ACRILICO RECT. 5.50,Lamina y cubiertas,LAR5-50.webp
LAR6.10,LAMINA ACRILICO RECT. 6.10,Lamina y cubiertas,LAR6-10.webp
BPVC2.95M,BAJANTE PVC 2.95M X8CMX6CM,Lamina y cubiertas,BPVC2-95M.webp
BPVC4M,BAJANTE PVC 4M X8CMX6CM,Lamina y cubiertas,BPVC4M.webp
CCENTRAL,CAIDA CENTRAL PVC 13.50X8.50X10.50X7.5CM,Lamina y cubiertas,CCENTRAL.webp
CAPVC2.95M,CANAL PVC 2.95M X10.5X8.50X13.20CM,Lamina y cubiertas,CAPVC2-95M.webp
CODO-INF-PVC,CODO INFERIOR PVC 65° X6.70X9X5X8CM,Lamina y cubiertas,CODO-INF-PVC.webp
COLGANT-PVC,COLGANTE PVC 13X5CM,Lamina y cubiertas,COLGANT-PVC.webp
CONECT-PVC,CONECTOR PVC 13X11X8.5CM,Lamina y cubiertas,CONECT-PVC.webp
CONVERT-PVC,CONVERTIDOR BAJANTE PVC 110MM,Lamina y cubiertas,CONVERT-PVC.webp
TAPA-C,JGO. TAPA CANAL PVC 13X11X8.50CM,Herramienta manual,TAPA-C.webp
UT105-2.19M,LAMINA TEJA PVC 2.19 MTS T/ESPAÑA,Lamina y cubiertas,UT105-2-19M.webp
UT105-3.28M,LAMINA TEJA PVC 3.28 MTS T/ESPAÑA,Lamina y cubiertas,UT105-3-28M.webp
UT105-4.38M,LAMINA TEJA PVC 4.38 MTS T/ESPAÑA,Lamina y cubiertas,UT105-4-38M.webp
SOPORT-CANAL,SOPORTE CANAL PVC 8.50X12X14CM,Lamina y cubiertas,SOPORT-CANAL.webp
TPVC-T,TAPA/CAPUCHON PVC P/TEJA TERRACOTA,Lamina y cubiertas,TPVC-T.webp
U-BAJANT,UBICADOR (ABRAZADERA)BAJANTE PVC 9X6CM,Lamina y cubiertas,U-BAJANT.webp
UNION-BAJANT,UNION BAJANTE PVC 8.5X3.5X9X7.5,Lamina y cubiertas,UNION-BAJANT.webp
CLIP LAM,CLIP LAMBRIN (865274),Lámina y cubiertas,CLIP-LAM.webp
ESQ-8051GP,"ESQUINERO LAMBRIN INT,GRIS PERLA 2.90 MT(8051)",Herrajes,ESQ-8051GP.webp
ESQ.8011NOG,"ESQUINERO LAMBRIN INT,NOGAL 2.90 MT(676450)",Herrajes,ESQ-8011NOG.webp
ESQ.8018OX,"ESQUINERO LAMBRIN INT,OXFORD 2.90 MT(766526)",Herrajes,ESQ-8018OX.webp
ESQ-8019PINO,ESQUINERO LAMBRIN INT.PINO 2.90 MT(775818),Herrajes,ESQ-8019PINO.webp
LI14-8051BH,LAMBRIN INT. GRIS PERLA  8051  2.90 MT. (875723),Lámina y cubiertas,LI14-8051BH.webp
LI14-8011NO,LAMBRIN INT. NOGAL  8011  2.90 MT. (695840),Lámina y cubiertas,LI14-8011NO.webp
LI14-8018OX,LAMBRIN INT. OXFORD 8018  2.90 MT. (629258),Lámina y cubiertas,LI14-8018OX.webp
LI14-8019PINO,LAMBRIN INT. PINO 8019  2.90 MT. (654403),Lámina y cubiertas,LI14-8019PINO.webp
DUELZ1X.915F,DUELA Z. DE 1 X .915 FLOR (13F),Lamina y cubiertas,DUELZ1X-915F.webp
DUELZ13E,DUELA Z. DE 1 X .915 RECT. ESPAÑA (13E),Lamina y cubiertas,DUELZ13E.webp
DUELZ11X2.00RCH,DUELA Z. DE 11 X 2.00 REC. CHAPETON (56.5RCH),Lamina y cubiertas,DUELZ11X2-00RCH.webp
DUELZ12X.915CH,DUELA Z. DE 12 X .915 CHAPETON (33CH),Lamina y cubiertas,DUELZ12X-915CH.webp
DUELZ14X1.83FCH,DUELA Z. DE 14 X 1.83 FLOR CHAPETON (56FCH),Lamina y cubiertas,DUELZ14X1-83FCH.webp
DUELZ14X1.83RCH,DUELA Z. DE 14 X 1.83 REC. CHAPETON (56RCH),Lamina y cubiertas,DUELZ14X1-83RCH.webp
DUELZ19X2.44FCH,DUELA Z. DE 19 X 2.44 FLOR CHAPETON (78FCH),Lamina y cubiertas,DUELZ19X2-44FCH.webp
