codigo,descripcion,categoria,archivo_foto
D710,"DISCO 710 P/CORTE  4"" 1/2",Soldadura y abrasivos,D710.webp
D711,"DISCO 711 DE CORTE 4 1/2""",Soldadura y abrasivos,D711.webp
D732,"DISCO 732 P/CORTE 8""",Soldadura y abrasivos,D732.webp
D733,"DISCO 733 P/CORTE 14""",Soldadura y abrasivos,D733.webp
D737,"DISCO 737 P/CORTE 14""",Soldadura y abrasivos,D737.webp
D739,"DISCO 739 P/CORTE 14""",Soldadura y abrasivos,D739.webp
D742,"DISCO 742 P/CORTE  14""",Soldadura y abrasivos,D742.webp
D743,"DISCO 743 P/CORTE 14""",Soldadura y abrasivos,D743.webp
D744,"DISCO 744 P/CORTE 14""",Soldadura y abrasivos,D744.webp
D746,"DISCO 746 P/CORTE DE INOX.14 """,Soldadura y abrasivos,D746.webp
D750,"DISCO 750 P/CORTE INOX 4 1/2""",Soldadura y abrasivos,D750.webp
D751,"DISCO 751 P/CORTE INOX. 4 1/2""",Soldadura y abrasivos,D751.webp
D752,"DISCO 752 P/CORTE INOX DE 4""1/2",Soldadura y abrasivos,D752.webp
D753,"DISCO 753 P/CORTE INOX. AUSTROMEX  14""",Soldadura y abrasivos,D753.webp
D758,"DISCO 758 P/CORTE 14""",Soldadura y abrasivos,D758.webp
D766,"DISCO 766 P/CORTE 14""",Soldadura y abrasivos,D766.webp
D768,"DISCO 768 14""",Soldadura y abrasivos,D768.webp
D775,"DISCO 775  P/CORTE 4 1/2""",Soldadura y abrasivos,D775.webp
D778,"DISCO 778  P/CORTE 4 1/2""",Soldadura y abrasivos,D778.webp
D780,"DISCO 780 P/CORTE METAL E INOX.  7""",Soldadura y abrasivos,D780.webp
D781,"DISCO 781 P/CORTE 4 1/2""",Soldadura y abrasivos,D781.webp
D8,"DISCO 8 RUEDA ABRASIVA 6""X 3/4"" X 1""",Soldadura y abrasivos,D8.webp
D875,"DISCO 875 ACERO INOX. P/CORTE MET. 7""",Soldadura y abrasivos,D875.webp
D877,"DISCO 877 P/CORTE 7"" INOX.",Soldadura y abrasivos,D877.webp
D879,"DISCO 879 P/CORTE 7""",Soldadura y abrasivos,D879.webp
D881,"DISCO 881 PREMIUM  PARA CORTE DE 7""",Soldadura y abrasivos,D881.webp
D882,"DISCO 882 P/CORTE DE METAL 9""",Soldadura y abrasivos,D882.webp
D889,"DISCO 889 P/CORTE 7""",Soldadura y abrasivos,D889.webp
D892,"DISCO 892 P/CORTE 4 1/2"" ALUMINIO",Soldadura y abrasivos,D892.webp
D999,"DISCO 999 P/DESBASTE 7""",Soldadura y abrasivos,D999.webp
D171,"DISCO SIERRA METALICA  171 DE 7 "" 1/4 (SMI38)",Herramienta electrica,D171.webp
1686,HOJA LIJA 1686 P/PASTA GRANO 36,Herramienta manual,1686.webp
1687,HOJA LIJA 1687 P/PASTA GRANO 50,Herramienta manual,1687.webp
1688,HOJA LIJA 1688 P/PASTA G80,Herramienta manual,1688.webp
