id,codigo,descripcion,categoria,subcategoria,medidas,foto,proveedor
D567,D567,"DISCO 567 P/CORTE  7""",Soldadura y abrasivos,Abrasivos / Discos,"7""",D567.webp,
D710,D710,"DISCO 710 P/CORTE  4"" 1/2",Soldadura y abrasivos,Abrasivos / Discos,"4"" 1/2",D710.webp,
D711,D711,"DISCO 711 DE CORTE 4 1/2""",Soldadura y abrasivos,Abrasivos / Discos,"4 1/2"" 1/2",D711.webp,
D732,D732,"DISCO 732 P/CORTE 8""",Soldadura y abrasivos,Abrasivos / Discos,"8""",D732.webp,
D733,D733,"DISCO 733 P/CORTE 14""",Soldadura y abrasivos,Abrasivos / Discos,"14""",D733.webp,
D737,D737,"DISCO 737 P/CORTE 14""",Soldadura y abrasivos,Abrasivos / Discos,"14""",D737.webp,
D739,D739,"DISCO 739 P/CORTE 14""",Soldadura y abrasivos,Abrasivos / Discos,"14""",D739.webp,
D742,D742,"DISCO 742 P/CORTE  14""",Soldadura y abrasivos,Abrasivos / Discos,"14""",D742.webp,
D743,D743,"DISCO 743 P/CORTE 14""",Soldadura y abrasivos,Abrasivos / Discos,"14""",D743.webp,
D744,D744,"DISCO 744 P/CORTE 14""",Soldadura y abrasivos,Abrasivos / Discos,"14""",D744.webp,
D746,D746,"DISCO 746 P/CORTE DE INOX.14 """,Soldadura y abrasivos,Abrasivos / Discos,"14 """,D746.webp,
D750,D750,"DISCO 750 P/CORTE INOX 4 1/2""",Soldadura y abrasivos,Abrasivos / Discos,"4 1/2"" 1/2",D750.webp,
D751,D751,"DISCO 751 P/CORTE INOX. 4 1/2""",Soldadura y abrasivos,Abrasivos / Discos,"4 1/2"" 1/2",D751.webp,
D752,D752,"DISCO 752 P/CORTE INOX DE 4""1/2",Soldadura y abrasivos,Abrasivos / Discos,"4"" 1/2",D752.webp,
D753,D753,"DISCO 753 P/CORTE INOX. AUSTROMEX  14""",Soldadura y abrasivos,Abrasivos / Discos,"14""",D753.webp,
D758,D758,"DISCO 758 P/CORTE 14""",Soldadura y abrasivos,Abrasivos / Discos,"14""",D758.webp,
D766,D766,"DISCO 766 P/CORTE 14""",Soldadura y abrasivos,Abrasivos / Discos,"14""",D766.webp,
D768,D768,"DISCO 768 14""",Soldadura y abrasivos,Abrasivos / Discos,"768 14""",D768.webp,
D775,D775,"DISCO 775  P/CORTE 4 1/2""",Soldadura y abrasivos,Abrasivos / Discos,"4 1/2"" 1/2",D775.webp,
D778,D778,"DISCO 778  P/CORTE 4 1/2""",Soldadura y abrasivos,Abrasivos / Discos,"4 1/2"" 1/2",D778.webp,
D780,D780,"DISCO 780 P/CORTE METAL E INOX.  7""",Soldadura y abrasivos,Abrasivos / Discos,"7""",D780.webp,
D781,D781,"DISCO 781 P/CORTE 4 1/2""",Soldadura y abrasivos,Abrasivos / Discos,"4 1/2"" 1/2",D781.webp,
D8,D8,"DISCO 8 RUEDA ABRASIVA 6""X 3/4"" X 1""",Soldadura y abrasivos,Abrasivos / Discos,"6"" 3/4"" 1"" 3/4",D8.webp,
D875,D875,"DISCO 875 ACERO INOX. P/CORTE MET. 7""",Soldadura y abrasivos,Abrasivos / Discos,"7""",D875.webp,
D877,D877,"DISCO 877 P/CORTE 7"" INOX.",Soldadura y abrasivos,Abrasivos / Discos,"7""",D877.webp,
D879,D879,"DISCO 879 P/CORTE 7""",Soldadura y abrasivos,Abrasivos / Discos,"7""",D879.webp,
D881,D881,"DISCO 881 PREMIUM  PARA CORTE DE 7""",Soldadura y abrasivos,Abrasivos / Discos,"7""",D881.webp,
D882,D882,"DISCO 882 P/CORTE DE METAL 9""",Soldadura y abrasivos,Abrasivos / Discos,"9""",D882.webp,
D889,D889,"DISCO 889 P/CORTE 7""",Soldadura y abrasivos,Abrasivos / Discos,"7""",D889.webp,
D892,D892,"DISCO 892 P/CORTE 4 1/2"" ALUMINIO",Soldadura y abrasivos,Abrasivos / Discos,"4 1/2"" 1/2",D892.webp,
D999,D999,"DISCO 999 P/DESBASTE 7""",Soldadura y abrasivos,Abrasivos / Discos,"7""",D999.webp,
D171,D171,"DISCO SIERRA METALICA  171 DE 7 "" 1/4 (SMI38)",Herramienta electrica,Herramienta electrica,"7 "" 1/4",D171.webp,
