id,codigo,descripcion,categoria,subcategoria,medidas,foto,proveedor
FIGFCECH,FIGFCECH,FIGURA DE FO CO. ESCALERA CHICA(30X.17CM)FIFIVAQ06,Forja artistica,Figura ornamental,17CM,FIGFCECH.webp,
FIGFCA,FIGFCA,FIGURA FO. CO. DE ALCATRAZ,Forja artistica,Figura ornamental,,FIGFCA.webp,
FIGFCP-C16,FIGFCP/C16,"FIGURA FO.CO P/CUA 5/8""",Forja artistica,Figura ornamental,"5/8"" 5/8",FIGFCP-C16.webp,
FLEHP5,FLEHP5,FLEXOMETRO HIGH POWER DE 5 MT.,Herramienta manual,Herramienta manual,5 MT,FLEHP5.webp,
FLEHP7-5,FLEHP7.5,FLEXOMETRO HIGH POWER DE 7.5 MT.,Herramienta manual,Herramienta manual,7.5 MT,FLEHP7-5.webp,
GARCABDOBLE,GARCABDOBLE,GARRUCHA P/CABLE DOBLE N0.6,Electrico e iluminacion,Electrico e iluminacion,,GARCABDOBLE.webp,
GARCABSENC,GARCABSENC,GARRUCHA P/CABLE SENCILLA N0.6,Electrico e iluminacion,Electrico e iluminacion,,GARCABSENC.webp,
HERRGDER,HERRGDER,HERRADURA GRANDE FO.CO. (43 X 49 ) REYES,"Herrería, forja y herrajes",Figura ornamental,43 X 49,HERRGDER.webp,
HROSAG,HROSAG,HOJA DE ROSA GRANDE(8X4CM),Herramienta manual,Herramienta manual,8X4 4CM,HROSAG.webp,
JABLVE,JABLVE,JALADERA COLOR BLANCA P/VENTANA CORRED.,Herrajes,Jaladera y manija,,JABLVE.webp,
JADOVE,JADOVE,JALADERA COLOR DORADA P/ VENTANA CORRED.,Herrajes,Jaladera y manija,,JADOVE.webp,
JANAVE,JANAVE,JALADERA COLOR NATURAL P/VENTANA CORRED.,Herrajes,Jaladera y manija,,JANAVE.webp,
JAMO110LA,JAMO110LA,JALADERA MODELO 110 LATONADA,Herrajes,Jaladera y manija,,JAMO110LA.webp,
JAMO110NE,JAMO110NE,JALADERA MODELO 110 NEGRA,Herrajes,Jaladera y manija,,JAMO110NE.webp,
JAMO110NI,JAMO110NI,JALADERA MODELO 110 NIQUEL,Herrajes,Jaladera y manija,,JAMO110NI.webp,
MANCOMDER,MANCOMDER,MANIJA COMBINADA BCE. P/VENT.DER.,Herrajes,Jaladera y manija,,MANCOMDER.webp,
MANCOMIZQ,MANCOMIZQ,MANIJA COMBINADA BCE. P/VENT.IZQ,Herrajes,Jaladera y manija,,MANCOMIZQ.webp,
MEDAME,MEDAME,MEDALLON MEDIANO (REYES #C04),"Herrería, forja y herrajes",Figura ornamental,C04,MEDAME.webp,
MEDE32,MEDE32,"MEDIA ESFERA 1 1/4""",Forja artistica,Figura ornamental,"1 1/4"" 1/4",MEDE32.webp,
MEDE13,MEDE13,"MEDIA ESFERA 1/2""",Forja artistica,Figura ornamental,"1/2"" 1/2",MEDE13.webp,
MEDE64,MEDE64,"MEDIA ESFERA 2 1/2""",Forja artistica,Figura ornamental,"2 1/2"" 1/2",MEDE64.webp,
MEDE75,MEDE75,"MEDIA ESFERA 3""",Forja artistica,Figura ornamental,"3""",MEDE75.webp,
MEDE19,MEDE19,"MEDIA ESFERA 3/4""",Forja artistica,Figura ornamental,"3/4"" 3/4",MEDE19.webp,
MEDE100,MEDE100,"MEDIA ESFERA 4""",Forja artistica,Figura ornamental,"4""",MEDE100.webp,
MEDE150,MEDE150,"MEDIA ESFERA 6""",Forja artistica,Figura ornamental,"6""",MEDE150.webp,
NUALCL13,NUALCL13,"NUDO DE ALAMBRON P/CUAD. 1/2""","Herrería, forja y herrajes",POR CLASIFICAR,"1/2"" 1/2",NUALCL13.webp,
NUALRED13,NUALRED13,"NUDO DE ALAMBRON P/RED. 1/2""","Herrería, forja y herrajes",POR CLASIFICAR,"1/2"" 1/2",NUALRED13.webp,
NUALTUBC3013,NUALTUBC3013,"NUDO DE ALAMBRON P/TUBO 1/2"" C30",Tuberia y conexiones,Tuberia y conexiones,"C30 1/2"" 1/2",NUALTUBC3013.webp,
NUALTUBC3019,NUALTUBC3019,"NUDO DE ALAMBRON P/TUBO 3/4"" C30",Tuberia y conexiones,Tuberia y conexiones,"C30 3/4"" 3/4",NUALTUBC3019.webp,
PORCANC,PORCANC,PORTA CANDADO CHICO (REYES),Herramienta manual,Herramienta manual,,PORCANC.webp,
PORCANG,PORCANG,PORTA CANDADO GRANDE (REYES),Herramienta manual,Herramienta manual,,PORCANG.webp,
RESAN2X2-5CAL8,RESAN2X2.5CAL8,REJA SAN REHNO 2.00 MTS X 2.50 MTS VERDE C-6,"Alambre, malla y cercas",POR CLASIFICAR,2.00 MTS 2.50 MTS,RESAN2X2-5CAL8.webp,
RESAN2-5X2-5C6,RESAN2.5X2.5C6,REJA SAN REHNO 2.50 MTS X 2.50 MTS VERDE C-6,"Alambre, malla y cercas",POR CLASIFICAR,2.50 MTS,RESAN2-5X2-5C6.webp,
RE5-161-20D,RE5/161.20D,"RESORTE P/CORTINA 5/16"" X 1.20MTS. DER.","Alambre, malla y cercas",POR CLASIFICAR,"5/16"" 1.20MTS 5/16",RE5-161-20D.webp,
RE5-161-20I,RE5/161.20I,"RESORTE P/CORTINA 5/16"" X 1.20MTS. IZQ.","Alambre, malla y cercas",POR CLASIFICAR,"5/16"" 1.20MTS 5/16",RE5-161-20I.webp,
ROPL41,ROPL41,RODAJA CON PLACA (41MM),Acero (barra y placa),Acero (barra y placa),41MM,ROPL41.webp,
SOLPERC13,SOLPERC13,"SOLERA PERF. P/CUAD. DE 1/2""",Perfiles estructurales,Perfiles estructurales,"1/2"" 1/2",SOLPERC13.webp,
SOLPERC16,SOLPERC16,"SOLERA PERF. P/CUAD. DE 5/8""",Perfiles estructurales,Perfiles estructurales,"5/8"" 5/8",SOLPERC16.webp,
SOLPERR13,SOLPERR13,"SOLERA PERF. P/RED. 1/2""",Perfiles estructurales,Perfiles estructurales,"1/2"" 1/2",SOLPERR13.webp,
SOLPERR16,SOLPERR16,"SOLERA PERF. P/REDO. 5/8""",Perfiles estructurales,Perfiles estructurales,"5/8"" 5/8",SOLPERR16.webp,
TOCAPCAB,TOCAPCAB,TOCA PUERTA CABALLITO,"Herrería, forja y herrajes",Figura ornamental,,TOCAPCAB.webp,
TOCAPCAR,TOCAPCAR,TOCA PUERTA CARPINTERO,"Herrería, forja y herrajes",Herraje de puerta,,TOCAPCAR.webp,
TOCAPHER,TOCAPHER,TOCA PUERTA HERCULES,"Herrería, forja y herrajes",Herraje de puerta,,TOCAPHER.webp,
TOCAPLEON,TOCAPLEON,TOCA PUERTA LEON,"Herrería, forja y herrajes",Figura ornamental,,TOCAPLEON.webp,
TOPUGR,TOPUGR,TOCA PUERTAS GRANDE 28 CM X 28 CM,"Herrería, forja y herrajes",Herraje de puerta,28 CM,TOPUGR.webp,
LLLECH,LLLECH,TOCADOR DE LEON FO.FO. (225X175 MM),Forja artistica,Figura ornamental,225X175 175 MM,LLLECH.webp,
VENCHIDER,VENCHIDER,VENADO FO. CO. CHICO DER.,"Herrería, forja y herrajes",POR CLASIFICAR,,VENCHIDER.webp,
VENCHIIZQ,VENCHIIZQ,VENADO FO.CO. CHICO IZQ.,"Herrería, forja y herrajes",POR CLASIFICAR,,VENCHIIZQ.webp,
LGZR3-05E,LGZR3.05E,GALVATUBING LAM.GALV. Z ALUM REC 3.05,Lámina y cubiertas,POR CLASIFICAR,,LGZR3-05E.webp,
LGZR3-66E,LGZR3.66E,GALVATUBING LAM.GALV. Z ALUM REC 3.66,Lámina y cubiertas,POR CLASIFICAR,,LGZR3-66E.webp,
LGZR4-27E,LGZR4.27E,GALVATUBING LAM.GALV. Z ALUM REC 4.27,Lámina y cubiertas,POR CLASIFICAR,,LGZR4-27E.webp,
LGZR4-88E,LGZR4.88E,GALVATUBING LAM.GALV. Z ALUM REC 4.88,Lámina y cubiertas,POR CLASIFICAR,,LGZR4-88E.webp,
ZR200E,ZR200E,"GALVATUBING RECTANGULAR 2"" X 1"" C-20",Perfiles estructurales,POR CLASIFICAR,"2"" 1""",ZR200E.webp,
ZR300E,ZR300E,GALVATUBING RECTANGULAR 3 X 1 1/2 C-20,Perfiles estructurales,POR CLASIFICAR,3 X 1 1/2,ZR300E.webp,
ZR400E,ZR400E,GALVATUBING RECTANGULAR 4 X 1 1/2 C-20,Perfiles estructurales,POR CLASIFICAR,4 X 1 1/2,ZR400E.webp,
CAAGUC24,CAAGUC24,CANAL AGUA C24 15 CM X3.05M,Perfiles estructurales,Perfiles estructurales,C24 15 CM 3.05M,CAAGUC24.webp,
CAAGU,CAAGU,CANAL AGUA C26 10 CM X3.05M,Perfiles estructurales,Perfiles estructurales,C26 10 CM 3.05M,CAAGU.webp,
DUE2X1-22,DUE2X1.22,DUELA Z. CASCADA  2X 1.22,Lamina y cubiertas,Lamina y cubiertas,2X 1.22,DUE2X1-22.webp,
DUE3X1-83,DUE3X1.83,DUELA Z. CASCADA  3 X 1.83,Lamina y cubiertas,Lamina y cubiertas,3 X 1.83,DUE3X1-83.webp,
DUE1X-91,DUE1X.91,DUELA Z. CASCADA 1 X .91,Lamina y cubiertas,Lamina y cubiertas,,DUE1X-91.webp,
DUE2X1-05,DUE2X1.05,DUELA Z. CASCADA 2X1.05  C-22,Lamina y cubiertas,Lamina y cubiertas,2X1.05,DUE2X1-05.webp,
PZALE,PZALE,PZA. LATERAL EUROPEA,Herramienta manual,Herramienta manual,,PZALE.webp,
PZALAP,PZALAP,PZA. LATERAL PLANA,Herramienta manual,Herramienta manual,,PZALAP.webp,
TACASC3X6,TACASC3X6,TABLERO CAS. CAJA CH. 3X6C-20,Electrico e iluminacion,Electrico e iluminacion,3X6,TACASC3X6.webp,
TACAV3X6,TACAV3X6,TABLERO CAS. EN V 3 X 6,Electrico e iluminacion,Electrico e iluminacion,3 X 6,TACAV3X6.webp,
TACASCG3X320,TACASCG3X320,TABLERO CAS.CAJA GDE. 3X3C-20,Electrico e iluminacion,Electrico e iluminacion,3X3,TACASCG3X320.webp,
TACAV3X3,TACAV3X3,TABLERO CAS.EN V 3 X 3,Electrico e iluminacion,Electrico e iluminacion,3 X 3,TACAV3X3.webp,
TACASL3X6,TACASL3X6,TABLERO CAS.LIENZO 3 X 6,Electrico e iluminacion,Electrico e iluminacion,3 X 6,TACASL3X6.webp,
TACASL3X3,TACASL3X3,TABLERO CAS.LIENZO 3X3,Electrico e iluminacion,Electrico e iluminacion,3X3,TACASL3X3.webp,
TACASL4X3,TACASL4X3,TABLERO CAS.LIENZO 4`X 3`,Electrico e iluminacion,Electrico e iluminacion,,TACASL4X3.webp,
TACASL4X6,TACASL4X6,TABLERO CAS.LIENZO 4`X 6`,Electrico e iluminacion,Electrico e iluminacion,,TACASL4X6.webp,
TACASCG3X322,TACASCG3X322,TABLERO CASC. CAJA GDE. 3X3C22,Electrico e iluminacion,Electrico e iluminacion,3X3,TACASCG3X322.webp,
TACASCG3X620,TACASCG3X620,TABLERO CASC. CAJA GDE. 3X6 C20,Electrico e iluminacion,Electrico e iluminacion,C20 3X6,TACASCG3X620.webp,
TACASC3X3C20,TACASC3X3C20,TABLERO CASC.CAJA CH. 3X3C20,Electrico e iluminacion,Electrico e iluminacion,3X3,TACASC3X3C20.webp,
TABLU3X3,TABLU3X3,TABLERO MEDIA LUNA 3X3,Electrico e iluminacion,Electrico e iluminacion,3X3,TABLU3X3.webp,
TABLU3X6,TABLU3X6,TABLERO MEDIA LUNA 3X6,Electrico e iluminacion,Electrico e iluminacion,3X6,TABLU3X6.webp,
MALLACI1-50CAL-12-50,MALLACI1.50CAL.12.50,MALLA CICLON 1.50 MT. ALT./CAL.12.50/20MTS.,"Alambre, malla y cercas","Alambre, malla y cercas",CAL.12 1.50 MT 20MTS 50/20,MALLACI1-50CAL-12-50.webp,
MALLACI1-75CAL-12-50,MALLACI1.75CAL.12.50,MALLA CICLON 1.75 MT. ALT./CAL.12.50/20MTS.,"Alambre, malla y cercas","Alambre, malla y cercas",CAL.12 1.75 MT 20MTS 50/20,MALLACI1-75CAL-12-50.webp,
MALLACI2CAL-12-50,MALLACI2CAL.12.50,MALLA CICLON 2.00 MT. ALT./CAL.12.50/20 MTS.,"Alambre, malla y cercas","Alambre, malla y cercas",CAL.12 2.00 MT 20 MTS 50/20,MALLACI2CAL-12-50.webp,
BOQP-CORT-4157,BOQP/CORT-4157,BOQ. P/CORT. OXIG. BUT. SC-50 A-1(5/8)C-4157,Soldadura,POR CLASIFICAR,5/8,BOQP-CORT-4157.webp,
4184,4184,BOQ.CORTE OXIBUTANO(4184),Soldadura,POR CLASIFICAR,,4184.webp,
BOQUILLA,BOQUILLA,BOQUILLA NO2,Soldadura y abrasivos,Soldadura (consumibles),,BOQUILLA.webp,
BOQP-CORT-4158,BOQP/CORT-4158,BOQUILLA P/CORT. OXIG-BUT.  SC-50 A-2(1 1/4)C-4158,Soldadura y abrasivos,Soldadura (consumibles),1/4,BOQP-CORT-4158.webp,
CABLE4,CABLE4,CABLE 4/AWG,Electrico e iluminacion,Electrico e iluminacion,,CABLE4.webp,
CARSC400,CARSC400,CARETA PLASTICA SC400 P. GDE(CODIGO-8120),Seguridad (EPP),Seguridad (EPP),,CARSC400.webp,
EQUIPO,EQUIPO,EQUIPO INFRA SMITHS EQP51-2CB-SM(4052),Soldadura y abrasivos,Equipo de soldadura,,EQUIPO.webp,
GOGLEVM,GOGLEVM,GOGLE VENTANA MOVIL(8528),Seguridad EPP,POR CLASIFICAR,,GOGLEVM.webp,
GUANIN,GUANIN,GUANTE DE NILON TIPO NINJA,Seguridad (EPP),Seguridad (EPP),,GUANIN.webp,
GUACARCR,GUACARCR,GUANTES CARNAZA CORTOS REF.,Seguridad (EPP),Seguridad (EPP),,GUACARCR.webp,
MAN15MTP-OXI-ACET,MAN15MTP/OXI-ACET,JGO.MANG.CUATA P/OXI-ACET DE 15 MTS.,Herramienta manual,Herramienta manual,15 MTS,MAN15MTP-OXI-ACET.webp,
MAN7-5MTP-OXI-ACET,MAN7.5MTP/OXI-ACET,JGO.MANG.CUATA P/OXI-ACET DE 7.50MTS.,Herramienta manual,Herramienta manual,7.50MTS,MAN7-5MTP-OXI-ACET.webp,
GASOL,GASOL,LENTES P/SOLDADOR 2SG002-C(8185),Herramienta manual,Herramienta manual,,GASOL.webp,
MAN50-4812,MAN50-4812,"MANOMETRO 2"" RANGO 28KG/CM2",Soldadura y abrasivos,Equipo de soldadura,"2""",MAN50-4812.webp,
MAN50-4807,MAN50-4807,"MANOMETRO DE 2"" RANGO 2KG/CM2 (COD-4807)",Soldadura y abrasivos,Equipo de soldadura,"2""",MAN50-4807.webp,
MASBOQ,MASBOQ,MASCARILLA CON BOQUILLA 1740,Soldadura y abrasivos,Soldadura (consumibles),,MASBOQ.webp,
MASCARILLA,MASCARILLA,MASCARILLA PLEGABLE P/POLVO ( 8326)(8327),Seguridad (EPP),Seguridad (EPP),,MASCARILLA.webp,
MASSEN,MASSEN,MASCARILLA SENCILLA(CODIGO-8288),Seguridad (EPP),Seguridad (EPP),,MASSEN.webp,
MPCLARO,MPCLARO,MICA DE POLICAR. CLARO P/SC400(8123),"Herrería, forja y herrajes",POR CLASIFICAR,,MPCLARO.webp,
MPS12,MPS12,MICA DE POLICAR. S-12 (8225),Seguridad (EPP),POR CLASIFICAR,,MPS12.webp,
MICA2-5D,MICA2.5D,MICA TRANSP. 2.5 AUM. DIOPT. (8530),Seguridad (EPP),POR CLASIFICAR,,MICA2-5D.webp,
MICA1-5D,MICA1.5D,MICA TRANSP. AUM. 1.5 DIOPT. (8529),Seguridad (EPP),POR CLASIFICAR,,MICA1-5D.webp,
PLASOLTH302,PLASOLTH302,PLANTA DE SOLDAR TH 302,Herramienta electrica,Herramienta electrica,,PLASOLTH302.webp,
PLASOL130,PLASOL130,PLANTA P/SOLD. INFRA ARCTRON 130,Herramienta electrica,Herramienta electrica,,PLASOL130.webp,
PLASOL160,PLASOL160,PLANTA P/SOLD. INFRA ARCTRON 160,Herramienta electrica,Herramienta electrica,,PLASOL160.webp,
PLASOL300,PLASOL300,PLANTA PARA SOLDAR INFRA MI 2-300CD( 3631),Herramienta electrica,Herramienta electrica,,PLASOL300.webp,
PLASOL225,PLASOL225,PLANTA PARA SOLDAR INFRA MI225,Herramienta electrica,Herramienta electrica,,PLASOL225.webp,
PLASOLMI250L,PLASOLMI250L,PLANTA PARA SOLDAR INFRA MI250 L CD(COD-3630),Herramienta electrica,Herramienta electrica,,PLASOLMI250L.webp,
PE250,PE250,PORTAELECTRODO DE 250 AMP. INFRA,Soldadura y abrasivos,Soldadura (consumibles),,PE250.webp,
PE300,PE300,PORTAELECTRODO DE 300 AMP. INFRA,Soldadura y abrasivos,Soldadura (consumibles),,PE300.webp,
MAN-500,MAN-500,PORTAELECTRODO DE 500 AMP. INFRA,Soldadura y abrasivos,Soldadura (consumibles),,MAN-500.webp,
PROFAC,PROFAC,PROTECTOR FACIAL 3PF-300(CODIGO-8259),Seguridad EPP,POR CLASIFICAR,,PROFAC.webp,
PROOI,PROOI,PROTECTOR P/OIDOS(8267),Seguridad EPP,POR CLASIFICAR,,PROOI.webp,
REGSH1710C,REGSH1710C,REGULADOR INFRA SMITHS SH 1710-C,Soldadura y abrasivos,Equipo de soldadura,,REGSH1710C.webp,
REPVIS,REPVIS,REPUESTO PARA PRO FACIAL(CODIGO-8005),Seguridad (EPP),Seguridad (EPP),,REPVIS.webp,
SOLACINOX,SOLACINOX,"SOLD. ACERO INOX. 1/8""(ARCWEL308-L16)(29PZA)",Acero (barra y placa),Acero (barra y placa),"1/8"" 1/8",SOLACINOX.webp,
SOLACINOX3-32308L16,SOLACINOX3/32308L16,"SOLD. ACERO INOX. 3/32"" 58 PZAS (ARC-WELD308L16)",Acero (barra y placa),Acero (barra y placa),"3/32"" 3/32",SOLACINOX3-32308L16.webp,
SOLFOCOE,SOLFOCOE,"SOLD. FO. CO. (ARC.WELD127)1/8"" ECON.(38PZA)(6040)",Soldadura,POR CLASIFICAR,"1/8"" 1/8",SOLFOCOE.webp,
SOLIN1-8E,SOLIN1/8E,SOLDADURA 6013 1/8  INFRA,Soldadura y abrasivos,Soldadura (consumibles),1/8,SOLIN1-8E.webp,
SOLIN3-32E,SOLIN3/32E,SOLDADURA 6013 3/32  INFRA,Soldadura y abrasivos,Soldadura (consumibles),3/32,SOLIN3-32E.webp,
SOLIN7013,SOLIN7013,"SOLDADURA 7013 1/8""",Soldadura y abrasivos,Soldadura (consumibles),"7013 1/8"" 1/8",SOLIN7013.webp,
SOLIN7018INF,SOLIN7018INF,SOLDADURA 7018 1/8 INFRA (2195),Soldadura y abrasivos,Soldadura (consumibles),1/8,SOLIN7018INF.webp,
SOLIN7018-3-32,SOLIN7018-3/32,SOLDADURA 7018 3/32 INFRA,Soldadura y abrasivos,Soldadura (consumibles),3/32,SOLIN7018-3-32.webp,
SOLAL1-8,SOLAL1/8,SOLDADURA DE ALUMINIO 1/8(70 PZ KG)2201E-AL-43,Soldadura y abrasivos,Soldadura (consumibles),1/8,SOLAL1-8.webp,
SOLDNILOX,SOLDNILOX,"SOLDADURA NILOX FO.CO DE 1/8""( 27 PZA.X KG)",Soldadura y abrasivos,Soldadura (consumibles),"1/8"" 1/8",SOLDNILOX.webp,
SUSMAT,SUSMAT,SUSPENSION MATRACA,Herramienta manual,Herramienta manual,,SUSMAT.webp,
TT250,TT250,TENAZA P/TIERRA 250 AMP 5T250(8280),Herramienta manual,Herramienta manual,,TT250.webp,
TT300,TT300,TENAZA P/TIERRA 300 AMP .5T-300(8285),Herramienta manual,Herramienta manual,,TT300.webp,
TT500,TT500,TENAZA P/TIERRA DE 500 AMP(8290),Herramienta manual,Herramienta manual,,TT500.webp,
4526TCA,4526TCA,TUERCA DER-IZQ. 959 R Y L K-P/MANG-T,Tornilleria y fijacion,Tornilleria y fijacion,,4526TCA.webp,
VICS10,VICS10,VIDRIO CARETA S-10,Seguridad (EPP),Seguridad (EPP),,VICS10.webp,
VICS11,VICS11,VIDRIO CARETA S-11,Seguridad (EPP),Seguridad (EPP),,VICS11.webp,
VICS12,VICS12,VIDRIO CARETA S-12,Seguridad (EPP),Seguridad (EPP),,VICS12.webp,
VICS13,VICS13,VIDRIO CARETA S-13,Seguridad (EPP),Seguridad (EPP),,VICS13.webp,
VICS14,VICS14,VIDRIO CARETA S-14,Seguridad (EPP),Seguridad (EPP),,VICS14.webp,
VITRAN,VITRAN,VIDRIO TRANSPARENTE,Lamina y cubiertas,Lamina y cubiertas,,VITRAN.webp,
ZAP300,ZAP300,ZAPATA 300 AMPS COD.8295,Soldadura,POR CLASIFICAR,,ZAP300.webp,
ZAP500,ZAP500,ZAPATA 500 AMPS COD. 8300 INFRA,Soldadura,POR CLASIFICAR,,ZAP500.webp,
AXT-WP26,AXT-WP26,ANTORCHA P/SOLD. TIG WP26 4.5MTS. AX 200A,Soldadura,POR CLASIFICAR,4.5MTS,AXT-WP26.webp,
AXT-SP250EC,AXT-SP250EC,ANTORCHA SPOOL GUN-4MTS. AXT-SP250EC 250 AMP,Soldadura,POR CLASIFICAR,4MTS,AXT-SP250EC.webp,
AXT-BORNEHEM1-2,AXT-BORNEHEM1/2,"BORNE HEMBRA 1/2"" (AX-TECH)",Soldadura (consumibles),POR CLASIFICAR,"1/2"" 1/2",AXT-BORNEHEM1-2.webp,
AXT-BORNEHEM3-8,AXT-BORNEHEM3/8,"BORNE HEMBRA 3/8"" (AX-TECH)",Soldadura (consumibles),POR CLASIFICAR,"3/8"" 3/8",AXT-BORNEHEM3-8.webp,
AXT-CEAMERICA,AXT-CEAMERICA,CARETA ELECTRONICA AMERICA AXT,Seguridad (EPP),Seguridad (EPP),,AXT-CEAMERICA.webp,
AXT-CEFRANK,AXT-CEFRANK,CARETA ELECTRONICA AXT-CEFRANK,Seguridad (EPP),Seguridad (EPP),,AXT-CEFRANK.webp,
AXT-CEMETAL,AXT-CEMETAL,CARETA ELECTRONICA AXT-CEMETAL,Seguridad (EPP),Seguridad (EPP),,AXT-CEMETAL.webp,
AXT-CEREX,AXT-CEREX,CARETA ELECTRONICA AXT-CEREX,Seguridad (EPP),Seguridad (EPP),,AXT-CEREX.webp,
VOL-CEF1,VOL-CEF1,CARETA ELECTRONICA VOLT CEF1,Seguridad (EPP),Seguridad (EPP),,VOL-CEF1.webp,
VOL-CEDRAGOB,VOL-CEDRAGOB,CARETA ELECTRONICA VOLT DRAGON,Seguridad (EPP),Seguridad (EPP),,VOL-CEDRAGOB.webp,
VOL-CELUCHADOR,VOL-CELUCHADOR,CARETA ELECTRONICA VOLT LUCHADOR,Seguridad (EPP),Seguridad (EPP),,VOL-CELUCHADOR.webp,
VOL-CEQUETZAL,VOL-CEQUETZAL,CARETA ELECTRONICA VOLT QUETZAL,Seguridad (EPP),Seguridad (EPP),,VOL-CEQUETZAL.webp,
AXT-P207LCD,AXT-P207LCD,PLANTA P/ SOLDAR  AXT-P207LCD,Herramienta electrica,Herramienta electrica,,AXT-P207LCD.webp,
AXT-EM207LCD-2,AXT-EM207LCD/2,PLANTA P/SOLD.(AXT-EM207LCD/2) C/ANT. TIG (WP26),Herramienta electrica,Herramienta electrica,,AXT-EM207LCD-2.webp,
VOL-AS110,VOL-AS110,PLANTA P/SOLD.(VOL-AS110)  VOLT 120 AMP.,Herramienta electrica,Herramienta electrica,,VOL-AS110.webp,
VOL-PE210TBV,VOL-PE210TBV,PLANTA P/SOLD.(VOL-PE210TBV) VOLT 200 AMP. COMBO,Herramienta electrica,Herramienta electrica,,VOL-PE210TBV.webp,
VOL-210TBV,VOL-210TBV,PLANTA P/SOLD.VOLT.110/220  VOL-210TBV,Herramienta electrica,Herramienta electrica,110/220,VOL-210TBV.webp,
AXT-160TBV,AXT-160TBV,PLANTA P/SOLDAR  (AXT-160) AX TECH 160 AMP.,Herramienta electrica,Herramienta electrica,,AXT-160TBV.webp,
AXT-P120TC,AXT-P120TC,PLANTA P/SOLDAR  (AXT-P120TC) AX TECH  120 AMP.,Herramienta electrica,Herramienta electrica,,AXT-P120TC.webp,
ARCOR2,ARCOR2,ARCO P/SEGUETA REFORZADO MOD.2,Herramienta manual,Herramienta manual,,ARCOR2.webp,
R101H3-05,R101H3.05,LAMINA POLICARBONATO HUMO R101 3.05,Lamina y cubiertas,Lamina y cubiertas,,R101H3-05.webp,
R101H3-66,R101H3.66,LAMINA POLICARBONATO HUMO R101 3.66,Lamina y cubiertas,Lamina y cubiertas,,R101H3-66.webp,
R101H4-27,R101H4.27,LAMINA POLICARBONATO HUMO R101 4.27,Lamina y cubiertas,Lamina y cubiertas,,R101H4-27.webp,
R101P2-44,R101P2.44,LAMINA POLICARBONATO R101 2.44,Lamina y cubiertas,Lamina y cubiertas,,R101P2-44.webp,
R101P3-05,R101P3.05,LAMINA POLICARBONATO R101 3.05,Lamina y cubiertas,Lamina y cubiertas,,R101P3-05.webp,
R101P3-66,R101P3.66,LAMINA POLICARBONATO R101 3.66,Lamina y cubiertas,Lamina y cubiertas,,R101P3-66.webp,
R101P4-27,R101P4.27,LAMINA POLICARBONATO R101 4.27,Lamina y cubiertas,Lamina y cubiertas,,R101P4-27.webp,
R101P4-88,R101P4.88,LAMINA POLICARBONATO R101 4.88,Lamina y cubiertas,Lamina y cubiertas,,R101P4-88.webp,
R101P6-10,R101P6.10,LAMINA POLICARBONATO R101 6.10,Lamina y cubiertas,Lamina y cubiertas,,R101P6-10.webp,
LARC3-05,LARC3.05,LAMINA ACRILICA CRISTAL DE 3.05 RECT,Lamina y cubiertas,Lamina y cubiertas,,LARC3-05.webp,
LARC3-66,LARC3.66,LAMINA ACRILICA CRISTAL DE 3.66 RECT,Lamina y cubiertas,Lamina y cubiertas,,LARC3-66.webp,
LARC4-27,LARC4.27,LAMINA ACRILICA CRISTAL DE 4.27 RECT,Lamina y cubiertas,Lamina y cubiertas,,LARC4-27.webp,
LARC4-88,LARC4.88,LAMINA ACRILICA CRISTAL DE 4.88 RECT,Lamina y cubiertas,Lamina y cubiertas,,LARC4-88.webp,
LARC5-50,LARC5.50,LAMINA ACRILICA CRISTAL DE 5.50 RECT,Lamina y cubiertas,Lamina y cubiertas,,LARC5-50.webp,
LARC6-10,LARC6.10,LAMINA ACRILICA CRISTAL DE 6.10 RECT,Lamina y cubiertas,Lamina y cubiertas,,LARC6-10.webp,
LAO1-83,LAO1.83,LAMINA ACRILICO OND 1.83,Lamina y cubiertas,Lamina y cubiertas,,LAO1-83.webp,
LAO2-44,LAO2.44,LAMINA ACRILICO OND 2.44,Lamina y cubiertas,Lamina y cubiertas,,LAO2-44.webp,
LAO3-05,LAO3.05,LAMINA ACRILICO OND 3.05,Lamina y cubiertas,Lamina y cubiertas,,LAO3-05.webp,
LAO3-66,LAO3.66,LAMINA ACRILICO OND 3.66,Lamina y cubiertas,Lamina y cubiertas,,LAO3-66.webp,
LAR2-44,LAR2.44,LAMINA ACRILICO RECT. 2.44,Lamina y cubiertas,Lamina y cubiertas,,LAR2-44.webp,
LAR3-05,LAR3.05,LAMINA ACRILICO RECT. 3.05,Lamina y cubiertas,Lamina y cubiertas,,LAR3-05.webp,
LAR3-66,LAR3.66,LAMINA ACRILICO RECT. 3.66,Lamina y cubiertas,Lamina y cubiertas,,LAR3-66.webp,
LAR4-27,LAR4.27,LAMINA ACRILICO RECT. 4.27,Lamina y cubiertas,Lamina y cubiertas,,LAR4-27.webp,
LAR4-88,LAR4.88,LAMINA ACRILICO RECT. 4.88,Lamina y cubiertas,Lamina y cubiertas,,LAR4-88.webp,
LAR5-50,LAR5.50,LAMINA ACRILICO RECT. 5.50,Lamina y cubiertas,Lamina y cubiertas,,LAR5-50.webp,
