"﻿""proveedor""",codigo,descripcion,categoria
"UJUETA MEXICO S,A DE C.V",M1-122,ANTORCHA SPOOL GUN-4MTS. SWEISS TITAN 250A,Soldadura
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,CPS17K,CAJA PLASTICA ROSA SURTEK (CPS17K),"Herrería, forja y herrajes"
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,137657,CAPUCHA DE MEZCLILLA SURTEK (137657),Seguridad EPP
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,137538,FAJA ELASTICA REFORZADA T/CH. (137538) SURTEK,Seguridad EPP
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,137541,FAJA ELASTICA REFORZADA T/EG (137541) SURTEK,Seguridad EPP
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,137542,FAJA ELASTICA REFORZADA T/EGG (137542) SURTEK,Seguridad EPP
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,137540,FAJA ELASTICA REFORZADA T/G (137540) SURTEK,Seguridad EPP
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,137539,FAJA ELASTICA REFORZADA T/M (137539) SURTEK,Seguridad EPP
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,137321,GOGLE PARA SOLDAR SURTEK (137321),Seguridad EPP
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,137334,GOGLE PARA SOLDAR SURTEK (137334),Seguridad EPP
