cod,nom,archivo_crudo,archivo_destino,estado,detalle
123254,"CARDA P/TALADRO 1/4"" X 1 3/4"" 17MM SURTEK (123254)","CARDA PTALADRO 14"" X 1 34"" 17MM SURTEK (123254).jpg",123254.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/123254.webp
HS3,CORTACIRCULOS BIMETAL URREA (HS3),CORTACIRCULOS BIMETAL URREA (HS3).webp,HS3.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/HS3.webp
ESCOM12,"ESCUADRA COMBINADA DE 12"" (142073)","ESCUADRA COMBINADA DE 12"" (142073).jpg",ESCOM12.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/ESCOM12.webp
ESME24-122281,"ESCUADRA METALICA DE 16"" X 24"" (122281)","ESCUADRA METALICA DE 16"" X 24"" (122281).jpg",ESME24-122281.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/ESME24-122281.webp
FIL108103,FILTRO SEPARADOR AGUA Y ACEITE SURTEK(108103),FILTRO SEPARADOR AGUA Y ACEITE SURTEK(108103).webp,FIL108103.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/FIL108103.webp
137323,LENTE SEGURIDAD TRANSPARENTE SURTEK (137323),LENTE SEGURIDAD TRANSPARENTE SURTEK (137323).jpg,137323.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/137323.webp
,,HOJA DE VIÑA.avif,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,TABLERO ZINTRO 4X3 SQ 1.00 MTS X 91.5 CM.png,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,CARDA COPA TRENZ. 4X 0.35MM M1 (C515).jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,ANTORCHA SPOOL GUN-4MTS. AXT-SP250EC 250 AMP.webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,REJA SAN REHNO 2.00 MTS X 2.50 MTS VERDE C-6.jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"JUEGO DE DESTORNILLADORES 316""X4""(2DP34).webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,BROCA COBALTO UIND. 18 URREA (BCO18).jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,AEROSOL NEGRO BRILLANTE 400ML SURTEK (AES401).webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,DISCO PFERD A60 4 12 CORTE METAL(000959).webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,JGO.CARBON PESMER.MAKITA CA-28.webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,LUNA CHICA.avif,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,HOJA DE OLIVO.avif,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"BROCA COBALTO UPROF. REDUC.1"" SURTEK (BSR1).jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,DUELA ZINTRO 8 X 1.83 SQ.jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,TEE DOBLE.webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,CEPILLO DE ALAMBRE (4X16)123261.jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,TABLERO ZINTRO 4X10 CAJA GDE. C-22.webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,CINTA ANTIDERRAPANTE 50MM 5M SURTEK (137367).webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
