"﻿""proveedor""",codigo,descripcion,categoria
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",FLEP2,FLECHA PARKER 2,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",GALLOD,GALLO DER.,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",GALLOI,GALLO IZQ.,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",GOLD,GOLONDRINA DERECHA,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",GOLI,GOLONDRINA IZQUIERDA,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",GRA1C25,"GRAPA 1 COSTILLA 1""","Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",GRA1C38,"GRAPA 1 COSTILLA 1""1/2","Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",GRA1C13,"GRAPA 1 COSTILLA 1/2""","Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",GRA2C13,"GRAPA 2 COSTILLA 1/2""","Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",GRA2C25,"GRAPA 2 COSTILLAS 1""","Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",GRA2C38,"GRAPA 2 COSTILLAS 1""1/2","Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",JARRONCH,JARRON CHICO 16.4 X 11.50 CM,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",JARRON,JARRON GDE.35X 24.50 CM.,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",LUCH,LUNA CHICA,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",LUGD,LUNA GRANDE,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",MACET,MACETERO,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",MANNEG,MANZANA,"Herrería, forja y herrajes"
