cod,nom,foto,medida_raw,medida_px,factor,lado_destino,estado,detalle
CHL150,"CHAPETON LAMINA 6""",CHL150.webp,"6""",6.0,1.0,700,ok,Guardado con lado_destino=700px (factor=1.0)
CHL38,"CHAPETON LAMINA 1""1/2",CHL38.webp,"1"" 1/2",1.0,0.7071,494,ok,Guardado con lado_destino=494px (factor=0.7071)
CHL32,"CHAPETON LAMINA 1""1/4",CHL32.webp,"1"" 1/4",1.0,0.7071,494,ok,Guardado con lado_destino=494px (factor=0.7071)
CHL64,"CHAPETON LAMINA 2"" 1/2",CHL64.webp,"2"" 1/2",2.0,1.0,700,ok,Guardado con lado_destino=700px (factor=1.0)
CHALA1M51MM,CHAPETON LATON 1 MOLD. 51 MM,CHALA1M51MM.webp,51 MM,2.0078740157480315,0.757,529,ok,Guardado con lado_destino=529px (factor=0.757)
CHALA1M89MM,CHAPETON LATON 1 MOLD. 89 MM (NUM4),CHALA1M89MM.webp,89 MM,3.5039370078740157,1.0,700,ok,Guardado con lado_destino=700px (factor=1.0)
CHALA2M39MM,CHAPETON LATON 2 MOLD. 39 MM,CHALA2M39MM.webp,39 MM,1.535433070866142,0.662,463,ok,Guardado con lado_destino=463px (factor=0.662)
CHALA2M46MM,CHAPETON LATON 2 MOLD. 46 MM,CHALA2M46MM.webp,46 MM,1.8110236220472442,0.7189,503,ok,Guardado con lado_destino=503px (factor=0.7189)
CHALA2M51MM,CHAPETON LATON 2 MOLD. 51 MM,CHALA2M51MM.webp,51 MM,2.0078740157480315,0.757,529,ok,Guardado con lado_destino=529px (factor=0.757)
CHALA2M71MM,CHAPETON LATON 2 MOLD. 71 MM,CHALA2M71MM.webp,71 MM,2.7952755905511815,0.8932,625,ok,Guardado con lado_destino=625px (factor=0.8932)
ESGA11/2,"ESQUINERO GALVANIZADO 1 1/2""",ESGA11-2.webp,"1 1/2"" 1/2",1.0,0.5,350,ok,Guardado con lado_destino=350px (factor=0.5)
ESGA1,"ESQUINERO GALVANIZADO 1""",ESGA1.webp,"1""",1.0,0.5,350,ok,Guardado con lado_destino=350px (factor=0.5)
ESGA2,"ESQUINERO GALVANIZADO 2""",ESGA2.webp,"2""",2.0,0.7071,494,ok,Guardado con lado_destino=494px (factor=0.7071)
ESGA3,"ESQUINERO GALVANIZADO 3""",ESGA3.webp,"3""",3.0,0.866,606,ok,Guardado con lado_destino=606px (factor=0.866)
ESGA4,"ESQUINERO GALVANIZADO 4""",ESGA4.webp,"4""",4.0,1.0,700,ok,Guardado con lado_destino=700px (factor=1.0)
FLEHP5,FLEXOMETRO HIGH POWER DE 5 MT.,FLEHP5.webp,5 MT,5.0,0.8165,571,ok,Guardado con lado_destino=571px (factor=0.8165)
FLEHP7.5,FLEXOMETRO HIGH POWER DE 7.5 MT.,FLEHP7-5.webp,7.5 MT,7.5,1.0,700,ok,Guardado con lado_destino=700px (factor=1.0)
