"﻿""proveedor""",codigo,descripcion,categoria,tipo,medidas
"ABRASIVOS ESPECIALES, S.A DE C.V",D768,"DISCO 768 14""",Soldadura y abrasivos,Abrasivos / Discos,"768 14"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D775,"DISCO 775  P/CORTE 4 1/2""",Soldadura y abrasivos,Abrasivos / Discos,"4 1/2"" 1/2"
"ABRASIVOS ESPECIALES, S.A DE C.V",D778,"DISCO 778  P/CORTE 4 1/2""",Soldadura y abrasivos,Abrasivos / Discos,"4 1/2"" 1/2"
"ABRASIVOS ESPECIALES, S.A DE C.V",D780,"DISCO 780 P/CORTE METAL E INOX.  7""",Soldadura y abrasivos,Abrasivos / Discos,"7"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D781,"DISCO 781 P/CORTE 4 1/2""",Soldadura y abrasivos,Abrasivos / Discos,"4 1/2"" 1/2"
"ABRASIVOS ESPECIALES, S.A DE C.V",D8,"DISCO 8 RUEDA ABRASIVA 6""X 3/4"" X 1""",Soldadura y abrasivos,Abrasivos / Discos,"6"" 3/4"" 1"" 3/4"
"ABRASIVOS ESPECIALES, S.A DE C.V",D875,"DISCO 875 ACERO INOX. P/CORTE MET. 7""",Soldadura y abrasivos,Abrasivos / Discos,"7"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D877,"DISCO 877 P/CORTE 7"" INOX.",Soldadura y abrasivos,Abrasivos / Discos,"7"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D879,"DISCO 879 P/CORTE 7""",Soldadura y abrasivos,Abrasivos / Discos,"7"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D881,"DISCO 881 PREMIUM  PARA CORTE DE 7""",Soldadura y abrasivos,Abrasivos / Discos,"7"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D882,"DISCO 882 P/CORTE DE METAL 9""",Soldadura y abrasivos,Abrasivos / Discos,"9"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D889,"DISCO 889 P/CORTE 7""",Soldadura y abrasivos,Abrasivos / Discos,"7"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D892,"DISCO 892 P/CORTE 4 1/2"" ALUMINIO",Soldadura y abrasivos,Abrasivos / Discos,"4 1/2"" 1/2"
"ABRASIVOS ESPECIALES, S.A DE C.V",D999,"DISCO 999 P/DESBASTE 7""",Soldadura y abrasivos,Abrasivos / Discos,"7"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D171,"DISCO SIERRA METALICA  171 DE 7 "" 1/4 (SMI38)",Herramienta electrica,Herramienta electrica,"7 "" 1/4"
"ABRASIVOS ESPECIALES, S.A DE C.V",1686,HOJA LIJA 1686 P/PASTA GRANO 36,Herramienta manual,Herramienta manual,
"ABRASIVOS ESPECIALES, S.A DE C.V",1687,HOJA LIJA 1687 P/PASTA GRANO 50,Herramienta manual,Herramienta manual,
"ABRASIVOS ESPECIALES, S.A DE C.V",1688,HOJA LIJA 1688 P/PASTA G80,Herramienta manual,Herramienta manual,
"ABRASIVOS ESPECIALES, S.A DE C.V",2740,HOJA LIJA 2740  GRANO 80,Herramienta manual,Herramienta manual,
"ABRASIVOS ESPECIALES, S.A DE C.V",2741,HOJA LIJA 2741  GRANO 100,Herramienta manual,Herramienta manual,
"ABRASIVOS ESPECIALES, S.A DE C.V",2742,HOJA LIJA 2742  GRANO 120,Herramienta manual,Herramienta manual,
"ABRASIVOS ESPECIALES, S.A DE C.V",2743,HOJA LIJA 2743 GRANO 150,Herramienta manual,Herramienta manual,
"ABRASIVOS ESPECIALES, S.A DE C.V",2744,HOJA LIJA 2744 GRANO 180,Herramienta manual,Herramienta manual,
"ABRASIVOS ESPECIALES, S.A DE C.V",2745,HOJA LIJA 2745  GRANO 220,Herramienta manual,Herramienta manual,
"ABRASIVOS ESPECIALES, S.A DE C.V",2746,HOJA LIJA 2746  GRANO 240,Herramienta manual,Herramienta manual,
"ABRASIVOS ESPECIALES, S.A DE C.V",2747,HOJA LIJA 2747 GRANO 280,Herramienta manual,Herramienta manual,
"ABRASIVOS ESPECIALES, S.A DE C.V",2748,HOJA LIJA 2748  GRANO 320,Herramienta manual,Herramienta manual,
"ABRASIVOS ESPECIALES, S.A DE C.V",2750,HOJA LIJA 2750 GRANO 400,Herramienta manual,Herramienta manual,
"ABRASIVOS ESPECIALES, S.A DE C.V",2752,HOJA LIJA 2752 GRANO 600,Herramienta manual,Herramienta manual,
"ABRASIVOS ESPECIALES, S.A DE C.V",2999,KIT DE DISCOS AUSTROMEX,Soldadura y abrasivos,Abrasivos / Discos,
"ABRASIVOS ESPECIALES, S.A DE C.V",L1973,LIJA FINA  P/FO. 1973,Soldadura y abrasivos,Abrasivos / Discos,
"ABRASIVOS ESPECIALES, S.A DE C.V",L1971,LIJA GRUESA P/FO. 1971,Soldadura y abrasivos,Abrasivos / Discos,
"ABRASIVOS ESPECIALES, S.A DE C.V",L1972,LIJA MEDIANA  P/FO. 1972,Soldadura y abrasivos,Abrasivos / Discos,
"ABRASIVOS ESPECIALES, S.A DE C.V",102,"LIMA ROTATIVA 102 1/2""X 1""",Herramienta manual,Herramienta manual,"102 1/2"" 1"" 1/2"
"ABRASIVOS ESPECIALES, S.A DE C.V",105,"LIMA ROTATIVA 105  1/4"" X 5/8""",Herramienta manual,Herramienta manual,"105 1/4"" 5/8"" 1/4 5/8"
"ABRASIVOS ESPECIALES, S.A DE C.V",107,"LIMA ROTATIVA 107 1/2""X 1""",Herramienta manual,Herramienta manual,"107 1/2"" 1"" 1/2"
"ABRASIVOS ESPECIALES, S.A DE C.V",120,"LIMA ROTATIVA 120 1/2""X 1""",Herramienta manual,Herramienta manual,"120 1/2"" 1"" 1/2"
"ABRASIVOS ESPECIALES, S.A DE C.V",122,"LIMA ROTATIVA 122 1/2""X 1""",Herramienta manual,Herramienta manual,"122 1/2"" 1"" 1/2"
"ABRASIVOS ESPECIALES, S.A DE C.V",124,"LIMA ROTATIVA 124 1/2""X1""1/8""",Herramienta manual,Herramienta manual,"124 1/2"" 1"" 1/8"" 1/2 1/8"
"ABRASIVOS ESPECIALES, S.A DE C.V",125,"LIMA ROTATIVA 125 1/2""X 7/8""",Herramienta manual,Herramienta manual,"125 1/2"" 7/8"" 1/2 7/8"
"ABRASIVOS ESPECIALES, S.A DE C.V",136,"LIMA ROTATIVA 136 1/2"" X 1 1/4""",Herramienta manual,Herramienta manual,"136 1/2"" 1 1/4"" 1/2 1/4"
"ABRASIVOS ESPECIALES, S.A DE C.V",2462,LIQUIDO LIMPIADOR DE OXIDO 250 ML (2462),Pintura y químicos,POR CLASIFICAR,
"ABRASIVOS ESPECIALES, S.A DE C.V",2442,PASTA LIMPIADORA INOX POLISH 75 ML (2442),Acero (barra y placa),Acero (barra y placa),
"ABRASIVOS ESPECIALES, S.A DE C.V",2444,PASTA P/PULIR METALES 75 ML (2444),Pintura y químicos,POR CLASIFICAR,
"ABRASIVOS ESPECIALES, S.A DE C.V",391,"PUNTA MONTADA 391 DE 3/4""x 2 1/2""  TIPO A-1",Soldadura y abrasivos,Abrasivos / Discos,"3/4"" 2 1/2"" 3/4 1/2"
"ABRASIVOS ESPECIALES, S.A DE C.V",392,"PUNTA MONTADA 392  DE 1""X 2 3/4""  TIPO A-3",Soldadura y abrasivos,Abrasivos / Discos,"1"" 2 3/4"" 3/4"
