tipo,codigo,medida_actual,medida_propuesta,arreglos,nombre
"DECIDIR","LGLR3C30","C30","C30","","KG. DE LAM. GALV ROLL C30 3´"
"DECIDIR","LGZR3.05C26","CAL.26","CAL.26","","LAMINA GALV. Z ALUM RECT 3.05 CAL.26"
"DECIDIR","LGZR4.27C26","CAL. 26","CAL. 26","","LAMINA GALV. Z ALUM RECT 4.27 CAL. 26"
"DECIDIR","LGZR4.88C26","CAL. 26","CAL. 26","","LAMINA GALV. Z ALUM RECT 4.88 CAL. 26"
"DECIDIR","LGZR6.10C26","CAL. 26","CAL. 26","","LAMINA GALV. Z. ALUM RECT 6.10 CAL. 26"
"DECIDIR","LGT3.05","C 26 3.05 MT","C 26 3.05 MT","","LAMINA GALVATEJA C 26 3.05 MT."
"DECIDIR","LGT3.66","C 26 3.66 MT","C 26 3.66 MT","","LAMINA GALVATEJA C 26 3.66 MT."
"DECIDIR","LGALTEJA4.27","C 26 4.27 MT","C 26 4.27 MT","","LAMINA GALVATEJA C 26 4.27 MT."
"DECIDIR","LGTP1.22","C 26 1.22 MT","C 26 1.22 MT","","LAMINA GALVATEJA PLUS C 26 1.22 MT"
"DECIDIR","LGTP1.83","C 26 1.83 MT","C 26 1.83 MT","","LAMINA GALVATEJA PLUS C 26 1.83 MT."
"DECIDIR","LGTP2.44","C 26 2.44 MT","C 26 2.44 MT","","LAMINA GALVATEJA PLUS C 26 2.44 MT."
"DECIDIR","LGTP3.05","C 26 3.05 MT","C 26 3.05 MT","","LAMINA GALVATEJA PLUS C 26 3.05 MT."
"DECIDIR","LGTP3.66","C 26 3.66 MT","C 26 3.66 MT","","LAMINA GALVATEJA PLUS C 26 3.66 MT."
"DECIDIR","LGTP4.27","C 26 4.27 MT","C 26 4.27 MT","","LAMINA GALVATEJA PLUS C 26 4.27 MT."
"DECIDIR","LGTP4.88","C 26 4.88 MT","C 26 4.88 MT","","LAMINA GALVATEJA PLUS C 26 4.88 MT."
"DECIDIR","LGTP5.50","C 26 5.50 MT","C 26 5.50 MT","","LAMINA GALVATEJA PLUS C 26 5.50 MT."
"DECIDIR","LGTP6.10","C 26 6.10 MT","C 26 6.10 MT","","LAMINA GALVATEJA PLUS C 26 6.10 MT."
"DECIDIR","LNANT3C12","C12 3X10","C12 3X10","","LAMINA NEGRA ANTID. 3X10 C12"
"DECIDIR","LNANT3C14","C14 3X10","C14 3X10","","LAMINA NEGRA ANTID. 3X10 C14"
"DECIDIR","LNANT4C12","C12 4X10","C12 4X10","","LAMINA NEGRA ANTID. 4X10 C12"
"DECIDIR","LNANT4C14","C14 4X10","C14 4X10","","LAMINA NEGRA ANTID. 4X10 C14"
"DECIDIR","LNANT4C16","C16 4X10","C16 4X10","","LAMINA NEGRA ANTID. 4X10 C16"
"DECIDIR","LNL3C12","C12","C12","","MT LAMINA NEGRA LISA 3 C12"
"DECIDIR","LNL3C14","C14","C14","","MT LAMINA NEGRA LISA 3 C14"
"DECIDIR","LNL3C16","C16","C16","","MT LAMINA NEGRA LISA 3 C16"
"DECIDIR","LNL3C18","C18","C18","","MT LAMINA NEGRA LISA 3 C18"
"DECIDIR","LNL3C20","C20","C20","","MT LAMINA NEGRA LISA 3 C20"
"DECIDIR","LNL3C22","C22","C22","","MT LAMINA NEGRA LISA 3 C22"
"DECIDIR","LNL4C12","C12","C12","","MT LAMINA NEGRA LISA 4 C12"
"DECIDIR","LNL4C14","C14","C14","","MT LAMINA NEGRA LISA 4 C14"
"DECIDIR","LNL4C16","C16","C16","","MT LAMINA NEGRA LISA 4 C16"
"DECIDIR","LNL4C18","C18","C18","","MT LAMINA NEGRA LISA 4 C18"
"DECIDIR","LNL4C20","C20","C20","","MT LAMINA NEGRA LISA 4 C20"
"DECIDIR","LGL3C14","C14","C14","","MT. DE LAM. GALV LISA 3' C14"
"DECIDIR","LGL3C16","C16","C16","","MT. DE LAM. GALV LISA 3´ C16"
"DECIDIR","LGL3C18","C18","C18","","MT. DE LAM. GALV LISA 3´ C18"
"DECIDIR","LGL3C20","C20","C20","","MT. DE LAM. GALV LISA 3´ C20"
"DECIDIR","LGL3C22","C22","C22","","MT. DE LAM. GALV LISA 3´ C22"
"DECIDIR","LGL4C16","C16","C16","","MT. DE LAM. GALV LISA 4´ C16"
"DECIDIR","LGL4C18","C18","C18","","MT. DE LAM. GALV LISA 4´ C18"
"DECIDIR","LGL4C20","C20","C20","","MT. DE LAM. GALV LISA 4´ C20"
"DECIDIR","LGL4C22","C22","C22","","MT. DE LAM. GALV LISA 4´ C22"
"DECIDIR","PTR100X100C1/4-6.10","C 1 4"" 6.10M 1/4","C 1 4"" 6.10M 1/4","","PTR 4"" X 4"" C 1/4 6.10M"
"DECIDIR","ZR400","1 1/2"" 4 X 1 1/2","1 1/2"" 4 X 1 1/2","","RECTANGULAR 4 X 1 1/2"""
"DECIDIR","ZT473X320","C 20 3 X 3","C 20 3 X 3","","TABLERO 3 X 3 EN V C 20"
"DECIDIR","ZT473X322","C 22 3 X 3","C 22 3 X 3","","TABLERO 3 X 3 EN V C 22"
"DECIDIR","ZT473X620","C20 3 X 6","C20 3 X 6","","TABLERO 3 X 6  EN V C20"
"DECIDIR","ZT473X622","C 22 3 X 6","C 22 3 X 6","","TABLERO 3 X 6 EN V C 22"
"DECIDIR","ZT473X820","C 20 3 X 8","C 20 3 X 8","","TABLERO 3 X 8 EN V C 20"
"DECIDIR","ZT473X822","C22 3 X 8","C22 3 X 8","","TABLERO 3 X 8 EN V C22"
"DECIDIR","ZT483X1020","C 20 3X10","C 20 3X10","","TABLERO 3X10 EN CAJA GDE. C 20"
"DECIDIR","ZT473X1020","C 20 3X10","C 20 3X10","","TABLERO 3X10 EN V C 20"
"DECIDIR","ZT473X1022","C 22 3X10","C 22 3X10","","TABLERO 3X10 EN V C 22"
"DECIDIR","ZT483X422","C22 3X4","C22 3X4","","TABLERO 3X4 CAJA GDE. C22"
"DECIDIR","ZTA473X820","C 20 3 X 8","C 20 3 X 8","","TABLERO ATRAV. 3 X 8 EN V C 20"
"DECIDIR","ZTA473X822","C 22 3 X 8","C 22 3 X 8","","TABLERO ATRAV. 3 X 8 EN V C 22"
"DECIDIR","ZTA473X1020","C 20 3X10","C 20 3X10","","TABLERO ATRAV. 3X10 EN V C 20"
"DECIDIR","ZTA473X1022","C 22 3X10","C 22 3X10","","TABLERO ATRAV. 3X10 EN V C 22"
"DECIDIR","ZTA473X620","C20 3 X 6","C20 3 X 6","","TABLERO ATRAVESADO DE 3 X 6 C20"
"DECIDIR","ZTA473X622","C22 3 X 6","C22 3 X 6","","TABLERO ATRAVESADO DE 3 X 6 C22"
"DECIDIR","ZT483X322","C 22 3 X 3","C 22 3 X 3","","TABLERO ZINTRO 3 X 3 EN CAJA GDE. C 22"
"DECIDIR","TCEC244","C24 4.05 M","C24 4.05 M","","TIRA P/CORT. EUROPEA C24 4.05 M"
"DECIDIR","TCEC245","C24 5.05 M","C24 5.05 M","","TIRA P/CORT. EUROPEA C24 5.05 M"
"DECIDIR","TCEC246","C24 6.00 M","C24 6.00 M","","TIRA P/CORT. EUROPEA C24 6.00 M"
"DECIDIR","ZP300C18","CAL.18 1 1/2"" 3"" 1/2","CAL.18 1 1/2"" 3"" 1/2","","ZOCLO CON CEJA 1 1/2"" X 3"" CAL.18"
"DECIDIR","ZP400C18","CAL. 18 1 1/2"" 4"" 1/2","CAL. 18 1 1/2"" 4"" 1/2","","ZOCLO CON CEJA 1 1/2"" X 4"" CAL. 18."
"DECIDIR","ZP200","1 1/2"" 2 X 1 1/2","1 1/2"" 2 X 1 1/2","","ZOCLO CON CEJA 2 X 1 1/2"""
"DECIDIR","ZP250","1 1/2"" 2 X 1 21/2 1/2","1 1/2"" 2 X 1 21/2 1/2","","ZOCLO CON CEJA 21/2 X 1 1/2"""
"DECIDIR","CTM19","3/4"" 6MTS 3/4","3/4"" 6MTS 3/4","","CUADRADO TUB. MART.6MTS.3/4""C-18"
"DECIDIR","LMNC18-4X8","C18 4X8","C18 4X8","","LOUVER MESH N94 A.NEGRO C18 4X8"
"DECIDIR","SOLD410-2X3/16-6M","2"" 3/16"" 6MT 3/16","2"" 3/16"" 6MT 3/16","","SOLERA DECOR. 2"" X 3/16"" 6MT.(20410)"
"DECIDIR","SOLD407","3/16"" 1"" 3MT 3/16 1/2","3/16"" 1"" 3MT 3/16 1/2","","SOLERA DECOR. 3/16"" X 1"" 1/2 3MT.(20407)"
