tipo,codigo,medida_actual,medida_propuesta,arreglos,nombre
"DECIDIR","124","1/2"" X  1"" 1/8""","1/2"" X  1"" 1/8""","","LIMA ROTATIVA 124 1/2"" X 1""1/8"""
"DECIDIR","CANAL150","6"" 6.10 MTS","6"" 6.10 MTS","","CANAL ""U ""6"" 6.10 m (12.2 KG/MT)"
"DECIDIR","CANALU75-5.3KG/MTS","3"" 6.10 MTS","3"" 6.10 MTS","","CANAL ""U"" 3"" 6.10 m (5.30KG/MTS)"
"DECIDIR","CANALU75","3"" 6.10 MTS","3"" 6.10 MTS","","CANAL ""U"" 3"" 6.10 m (6.03 KG/ML)"
"DECIDIR","CANALUL","4"" 6.10 MTS","4"" 6.10 MTS","","CANAL ""U"" 4"" 6.10 MTS.(6.70 KG/ML)"
"DECIDIR","CANALU100","4"" 6.10 MTS","4"" 6.10 MTS","","CANAL ""U"" 4"" 6.10 MTS.(8.19 KG/ML)"
"DECIDIR","CANALU","6"" 6.10 MTS","6"" 6.10 MTS","","CANAL ""U"" 6"" (15.63KG./MTS)"
"DECIDIR","SOL3X32","1 1/4"" 8 X 1 1/8 1/4","1 1/4"" 8 X 1 1/8 1/4","","SOLERA 1/8 X 1 1/4"""
"DECIDIR","SOL5X64","3/16"" X 2""1/2","3/16"" X 2""1/2","","SOLERA 3/16"" X 2""1/2"
"DECIDIR","MEDEGDE2","45.50 CM 26 CM","45.50 CM 26 CM","","MEDALLON GRANDE (45.50 CM X 26 CM)"
"DECIDIR","RAUVA2","7.50X8 8CM","7.50X8 8CM","","RACIMO DE UVAS C/HOJA CH.(7.50X8CM)"
"DECIDIR","RAUVA1","8.50X10 10CM","8.50X10 10CM","","RACIMO DE UVAS C/HOJA GDE.(8.50X10CM)"
"DECIDIR","118/H/2","1.2X1.2 CM 90CM","1.2X1.2 CM 90CM","","BARROTE CUADRADO 1.2X1.2 CM ALTO 90CM (118/H/2)"
"DECIDIR","-652655","1.10 MTS 113/2","1.10 MTS 113/2","","BARROTE FORJADO C/PIÑA ALTO 1.10 MTS(COD113/2)"
"DECIDIR","-451378","4X4 4CM","4X4 4CM","","COROLA 4X4CM"
"DECIDIR","CM13","1/2"" 6MT","1/2"" 6MT","","CUADRADO MARTILLADO  1/2"" DE 6MT. ART.118/1/6000"
"DECIDIR","-642612","3.9 CM 1 CM","3.9 CM 1 CM","","HOJA CHAPA 3.9 CM D. 1 CM ALTO"
"DECIDIR","E0042","42.4MM X 2MM X 1M","42.4MM X 2MM X 1M","","INOX POSTE  42.4MM X2MM X 1M"
"DECIDIR","E001","42.4 X 2 2MM 3 M","42.4 X 2 2MM 3 M","","INOX TUBO INOX 42.4 X 2MM X 3 M E001"
"DECIDIR","E005","12MM 3 MT","12MM 3 MT","","INOX VARILLA 12MM X 3 MT E005"
"DECIDIR","-643677","11X6.50 6.50 CM 137/9","11X6.50 6.50 CM 137/9","","MARIPOSA CHICA  11X6.50 CM (CODIGO 137/9)"
"DECIDIR","-643647","17.50X12.50 12.50CM","17.50X12.50 12.50CM","","MARIPOSA GRANDE 17.50X12.50CM (CODIGO13710)"
"DECIDIR","811/3/T","5.9 X 1.65 1.65 CM 3.00MTS","5.9 X 1.65 1.65 CM 3.00MTS","","PASAMANOS DE  5.9 X 1.65 CM X 3.00MTS DE LARGO"
"DECIDIR","-321412","59CM 1020/1","59CM 1020/1","","ROSETA CON ARO EN EL CENTRO DIA 59CM (COD-1020/1)"
"DECIDIR","-24014","05 CM 3 MTS","05 CM 3 MTS","","SOLERA DECORADA DE 3.1 X .05 CM DE 3 MTS."
"DECIDIR","-652443","7.5CM 113/9","7.5CM 113/9","","TERMINAL/POSTE  DIA 7.5CM PUNTA (COD-113/9)"
"DECIDIR","-652413","7CM 113/10","7CM 113/10","","TERMINAL/POSTE DIA 7CM REDONDO (COD-113/10)"
"DECIDIR","-181099","7CM 10CM 1404/3","7CM 10CM 1404/3","","TERMINAL/POSTE DIAM7CM ALTO 10CM ART1404/3"
"DECIDIR","-642673","1.8 CM 1.5 CM","1.8 CM 1.5 CM","","TULIPAN CHAPA 1.8 CM D. X 1.5 CM ALTO"
"DECIDIR","-642643","2.4 CM 1.30 CM","2.4 CM 1.30 CM","","TULIPAN CHAPA 2.4 CM D. X 1.30 CM ALTO"
"DECIDIR","CODSOL38","1 1/2"" X 45 GRADOS","1 1/2"" X 45 GRADOS","","CODO SOLDABLE 1"" 1/2 X 45 GRADOS"
"DECIDIR","CODSOL32","1"" 4 X 45 1/4","1"" 4 X 45 1/4","","CODO SOLDABLE 1"" 1/4 X 45 GRADOS"
"DECIDIR","CODSOL25","1"" X 45 GRADOS","1"" X 45 GRADOS","","CODO SOLDABLE 1"" X 45 GRADOS"
"DECIDIR","JAL-2211","D 32MM 450MM CC 418MM","D 32MM 450MM CC 418MM","","JALADERA PARA PUERTA TIPO ""C"" (2211)DEXTER"
"DECIDIR","JAL-2212","D 32MM 300MM CC 268MM","D 32MM 300MM CC 268MM","","JALADERA PARA PUERTA TIPO ""C"" (2212)DEXTER"
"DECIDIR","MIR-6415","160°","160°","","MIRILLA DEXTER 160°PARA PUERTA 1/2 LB(6415)"
"DECIDIR","MIR-6416","180°","180°","","MIRILLA DEXTER 180 PARA PUERTA   LB(6416)"
"DECIDIR","MIR-6418","180°","180°","","MIRILLA DEXTER 180°PARA PUERTA 9/16 NS(6418)"
"DECIDIR","NLB-0-4080","4"" 7""","4"" 7""","","NUMERO DE LATON B. DE 4"" # ""7"""
"DECIDIR","PINA002","1/2"" 6 X12.50 CM","1/2"" 6 X12.50 CM","","CANASTA O PIÑA 1/2""  6 CMX12.50 CM"
"DECIDIR","PINA005","1/2"" 4 CM X 10 CM","1/2"" 4 CM X 10 CM","","CANASTA O PIÑA FLAMA 1/2"" 4 CM X 10 CM"
"DECIDIR","ESFOR001","25.4M","25.4M","","ESFERA MACIZA 25.4M(ESFOR001)"
"DECIDIR","ESFOOR002","38 M","38 M","","ESFERA MACIZA 38 M(ESFOOR002)"
"DECIDIR","ESFOOR003","51 M","51 M","","ESFERA MACIZA 51 M"
"DECIDIR","ESFOOR004","64M","64M","","ESFERA MACIZA 64M"
"DECIDIR","ESFOOR006","89 M","89 M","","ESFERA MACIZA 89 M"
"DECIDIR","RIZO011","1/2"" 4 X 1 6 X 15.5 1/4 1/2","1/2"" 4 X 1 6 X 15.5 1/4 1/2","","RIZO DE 1/4 X 1/2"" 6 X 15.5 CMS"
"DECIDIR","RIZO013","1/2"" 4 X 1 7.6 X 19 1/4 1/2","1/2"" 4 X 1 7.6 X 19 1/4 1/2","","RIZO DE 1/4 X 1/2"" 7.6 X 19 CMS"
"DECIDIR","BIRLO5X178","3/16'' X 7''","3/16'' X 7''","","BIRLO 3/16'' X 7''"
"DECIDIR","PIJA10X2","2"" 10 X 2","2"" 10 X 2","","PIJA GALV. 10 X 2"""
"DECIDIR","PIJA8X1","1"" 8 X 1","1"" 8 X 1","","PIJA GALV. 8 X 1"""
"DECIDIR","VAROS8X1","5/16"" 1 MTS 5/16","5/16"" 1 MTS 5/16","","VARILLA ROSCADA DE 5/16"" X 1 MTS."
"DECIDIR","VAROS16","5/8"" 1 MTS 5/8","5/8"" 1 MTS 5/8","","VARILLA ROSCADA DE 5/8"" X 1 MTS."
"DECIDIR","TAQAR1/2X3-3/4","1/2"" X 3-3/4""","1/2"" X 3-3/4""","","TAQUETE ARPON GALV.1/2 X 3-3/4"
"DECIDIR","TAQAR1/4X3-1/4","4X3-1/4","4X3-1/4","","TAQUETE ARPON GALV.1/4X3-1/4"
"DECIDIR","TORCOGALV.8X32","5/16"" X 1""1/4","5/16"" X 1""1/4","","TORNILLO C/COCHE GALV.5/16"" X 1""1/4"
"DECIDIR","BROIRW3/4""","3/4"" C/ZANCO DE 1/2""","3/4"" C/ZANCO DE 1/2""","","BROCA P/FO. 3/4"" C/ZANCO DE 1/2"" IRWIN(012166)"
"DECIDIR","BROIRW5/8""","5/8"" C/ZANCO DE 1/2""","5/8"" C/ZANCO DE 1/2""","","BROCA P/FO. 5/8"" C/ZANCO DE 1/2"" IRWIN(012163)"
"DECIDIR","BROIRW7/8""","7/8"" C/ZANCO DE 1/2""","7/8"" C/ZANCO DE 1/2""","","BROCA P/FO. 7/8"" C/ZANCO DE 1/2"" IRWIN"
"DECIDIR","BROCON1/2X6D00963","1/2"" 6"" 1/4"" 1/2 1/4","1/2"" 6"" 1/4"" 1/2 1/4","","BROCA PARA CONCRETO   SDS MAK 1/2""X 6"" 1/4"" D00963"
"DECIDIR","BROCON1/2X12D00979","1/2"" 12"" 1/2 1/4","1/2"" 12"" 1/2 1/4","","BROCA PARA CONCRETO   SDS MAK 1/2""X12""1/4 D00979"
"DECIDIR","BROCON1/4X4D00860","1/4"" 4"" 1/2"" 1/4 1/2","1/4"" 4"" 1/2"" 1/4 1/2","","BROCA PARA CONCRETO   SDS MAK 1/4""X 4"" 1/2"" D00860"
"DECIDIR","BROCON3/16X6D00832","3/16"" 6"" 3/16 1/4","3/16"" 6"" 3/16 1/4","","BROCA PARA CONCRETO   SDS MAK 3/16""X 6"" 1/4 D00832"
"DECIDIR","BROCON3/8X6D000929","3/8"" 3/8 1/4","3/8"" 3/8 1/4","","BROCA PARA CONCRETO   SDS MAK 3/8""X ""6 1/4 D00929"
"DECIDIR","BROCON3/8X12D000935","3/8"" 12"" 3/8 1/8","3/8"" 12"" 3/8 1/8","","BROCA PARA CONCRETO   SDS MAK 3/8""X 12"" 1/8 D00935"
"DECIDIR","BROCON5/16X6D00907","5/16"" 5/16 1/4","5/16"" 5/16 1/4","","BROCA PARA CONCRETO   SDS MAK 5/16""X ""6 1/4 D00907"
"DECIDIR","BROCON9/16X6D00985","9/16"" 6"" 9/16 1/2","9/16"" 6"" 9/16 1/2","","BROCA PARA CONCRETO   SDS MAK 9/16""X 6"" 1/2 D00985"
"DECIDIR","BROCONI3/16X39MM","3/16"" 39 MM 3/16","3/16"" 39 MM 3/16","","BROCA PARA CONCRETO IRWIN  3/16"" X 39 MM LARGO"
"DECIDIR","CAR3M6001","3M","3M","","CARTUCHO P/VAPORES ORGAN. 3M MOD. 6001"
"DECIDIR","CINAIS3M-013000","4"" 18 M 3M","4"" 18 M 3M","","CINTA AISLAR TEMFLEX 3.4"" X 18 M (3M)(013000)"
"DECIDIR","CINAIS3M","4"" 18 M 3M","4"" 18 M 3M","","CINTA AISLAR TEMFLEX 3.4"" X 18 M (3M)(143451)"
"DECIDIR","CINAIST-2229","18 MM 18 M","18 MM 18 M","","CINTA DE AISLAR 18 MM X 18 M.TUK(2229)"
"DECIDIR","CINCAN007061","50M","50M","","CINTA EMPACAR CANELA 48MMX50M TUK(007061)"
"DECIDIR","CINTRA032211","150M","150M","","CINTA EMPACAR TRANSP. 48MMX150M HITOOLS (032211)"
"DECIDIR","CINTRA032212","150M","150M","","CINTA EMPACAR TRANSP. 72MMX150M HITOOLS (032212)"
"DECIDIR","ESPPEFOAM500ML","500M","500M","","ESPUMA  PENS FOAM MULTIPOSICION 360° 500M(043291)"
"DECIDIR","LENMICGRIS","3M","3M","","LENTE MICA GRIS 3M (11327)"
"DECIDIR","MANDRILL2","1"" 6 "" 1/4","1"" 6 "" 1/4","","MANDRIL P/CORTACIRCULOS 1"" 1/4 A 6 """
"DECIDIR","MANDRIL1L","9/16"" 1"" 9/16 3/16","9/16"" 1"" 9/16 3/16","","MANDRIL P/CORTACIRCULOS 9/16"" A 1""3/16"
"DECIDIR","MASSEN3M","3M 9002 M","3M 9002 M","","MASCARILLA SENCILLA 3M (9002 M)(037398)"
"DECIDIR","PROOI3M","3 M","3 M","","PROTECTOR P/OIDOS 3 M (037407)"
"DECIDIR","RESFACIAL6200","3M","3M","","RESPIRADOR MEDIA CARA MEDIANO 6200 3M"
"DECIDIR","RETFILTRO501-3M","3M","3M","","RETENEDOR DE FILTRO 5N11 MOD.501 3M"
"DECIDIR","SILDURG95GR","95GRS","95GRS","","SILICON DURETAN GRIS. 95 GRS. (60285)"
"DECIDIR","SILDUR95GR","95GRS","95GRS","","SILICON PENS. DURETAN BLANCO 95 GRS (029282)"
"DECIDIR","SOLCIN3M","3M","3M","","SOLUCINTA NEGRA 3M DEVCON"
"DECIDIR","AROC13","12 CM 1/2","12 CM 1/2","","ARO DE CUAD.DE 1/2 A 12 CM( C-3)"
"DECIDIR","AROC-18","14 CM 1/2","14 CM 1/2","","ARO DE CUADRADO DE 1/2 A 14 CM(C-18)"
"DECIDIR","AROC16","12 CM 5/8","12 CM 5/8","","ARO DE CUADRADO DE 5/8 A 12 CM."
"DECIDIR","ARORED13","1/2"" 12 CM 1/2","1/2"" 12 CM 1/2","","ARO DE REDONDO DE 1/2"" A 12 CM"
"DECIDIR","ARORED10","3/8"" 12 CM 3/8","3/8"" 12 CM 3/8","","ARO DE REDONDO DE 3/8"" A 12 CM."
"DECIDIR","FIG-B7","45. 5 x 13.5 cm","45. 5 x 13.5 cm","","FIGURA DE CUADRADO 1/2"" B-7"
"DECIDIR","FIGSOLT","60 X 8.0 8.0CM","60 X 8.0 8.0CM","","FIGURA DE SOLERA ""T"" 60 X 8.0CM"
"DECIDIR","FIGSOLT1","1 1/8"" 38CM 8.00CM 1/8","1 1/8"" 38CM 8.00CM 1/8","","FIGURA DE SOLERA T1 1/8"" 38cm x 8.00cm"
"DECIDIR","JARRONCH","16.4 X 11.50 11.50 CM","16.4 X 11.50 11.50 CM","","JARRON CHICO 16.4 X 11.50 CM"
"DECIDIR","JARRON","35X 24.50 24.50 CM","35X 24.50 24.50 CM","","JARRON GDE.35X 24.50 CM."
"DECIDIR","PANT01","CAL. 14","CAL. 14","","PANTALLA NO. 01 DE 1.22 X .61 CAL. 14"
"DECIDIR","PANT011.22","CAL. 14 2.44 X 1.22","CAL. 14 2.44 X 1.22","","PANTALLA NO. 01 DE 2.44 X 1.22 CAL. 14"
"DECIDIR","PANT02","CAL. 14","CAL. 14","","PANTALLA NO. 02 DE 1.22 X .61 CAL. 14"
"DECIDIR","PANT021.22","CAL.14 2.44 X 1.22","CAL.14 2.44 X 1.22","","PANTALLA NO. 02 DE 2.44 X 1.22 CAL.14"
"DECIDIR","PANT03","CAL. 14","CAL. 14","","PANTALLA NO. 03 DE 1.22 X .61 CAL. 14"
"DECIDIR","PANT04","CAL. 14","CAL. 14","","PANTALLA NO. 04 DE 1.22 X .61 CAL. 14"
"DECIDIR","PANT041.22","CAL.14 2.44 X 1.22","CAL.14 2.44 X 1.22","","PANTALLA NO. 04 DE 2.44 X 1.22 CAL.14"
"DECIDIR","PANT05","CAL. 14","CAL. 14","","PANTALLA NO. 05 DE 1.22 X .61 CAL. 14"
"DECIDIR","PANT051.22","CAL. 14 2.44 X 1.22","CAL. 14 2.44 X 1.22","","PANTALLA NO. 05 DE 2.44 X 1.22 CAL. 14"
"DECIDIR","PANT06","CAL. 14","CAL. 14","","PANTALLA NO. 06 DE 1.22 X .61 CAL. 14"
"DECIDIR","PANT061.22","CAL. 14 2.44 X 1.22","CAL. 14 2.44 X 1.22","","PANTALLA NO. 06 DE 2.44 X 1.22 CAL. 14"
"DECIDIR","PANT08","CAL.14","CAL.14","","PANTALLA NO. 08 DE 1.22 X .61 CAL.14"
"DECIDIR","PANT081.22","CAL. 14 2.44 X 1.22","CAL. 14 2.44 X 1.22","","PANTALLA NO. 08 DE 2.44 X 1.22 CAL. 14"
"DECIDIR","PANT09","CAL.14","CAL.14","","PANTALLA NO. 09 DE 1.22 X .61 CAL.14"
"DECIDIR","PANT091.22","CAL.14 2.44 X 1.22","CAL.14 2.44 X 1.22","","PANTALLA NO. 09 DE 2.44 X 1.22 CAL.14"
"DECIDIR","PANT10","CAL.14","CAL.14","","PANTALLA NO. 10 DE 1.22 X .61 CAL.14"
"DECIDIR","PANT101.22","CAL. 14 2.44 X 1.22","CAL. 14 2.44 X 1.22","","PANTALLA NO. 10 DE 2.44 X 1.22 CAL. 14"
"DECIDIR","VIRGENMED","75CM 40CM","75CM 40CM","","VIRGEN MEDIANA 75CM X 40CM"
"DECIDIR","PLA138X40","1/2"" 2.44 X 12 m","1/2"" 2.44 X 12 m","","PLACA DE 1/2"" DE 2.44 X 12 MTRS DE LARGO(8' X 40')"
"DECIDIR","VIGA12X4(20.9KG)","12"" 4"" 12.20MTS","12"" 4"" 12.20MTS","","VIGA  IPR 12"" X 4"" (20.9KG/MT) A 12.20MTS"
"DECIDIR","VIGAH4X4(19.3KG/MTS)","4"" 6.10 MTS","4"" 6.10 MTS","","VIGA ""H"" 4"" X 4"" X 6.10 MTS (19.3 KG/MTS)"
"DECIDIR","VIGAH6X22.4KGS.","6X6 12.20 MTS","6X6 12.20 MTS","","VIGA H 6X6 DE 22.4 KG/ML A 12.20 MTS."
"DECIDIR","VIGA16X7(67.10KG)","16"" 7"" 12.20 MTS","16"" 7"" 12.20 MTS","","VIGA IPR  16"" X 7""  (67.10KG/ MT) A  12.20  MTS."
"DECIDIR","VIGA16X7(74.40KG)","16"" 7"" 12.20 MTS","16"" 7"" 12.20 MTS","","VIGA IPR  16"" X 7""  (74.40KG/ MT) A  12.20  MTS."
"DECIDIR","VIGA6X4(12.60KG)","6"" 4"" 12.20 MTS","6"" 4"" 12.20 MTS","","VIGA IPR  6"" X 4""  (12.7KG/ MT) A  12.20  MTS."
"DECIDIR","VIGA6X4(13.40KG)","6"" 4"" 12.20 MTS","6"" 4"" 12.20 MTS","","VIGA IPR  6"" X 4""  (13.40KG/MT) A  12.20  MTS."
"DECIDIR","VIGA6X4(17.90KG)","6"" 4"" 12.20 MTS","6"" 4"" 12.20 MTS","","VIGA IPR  6"" X 4""  (17.90KG/MT) A  12.20  MTS."
"DECIDIR","VIGA10X4(22K)","10"" 4"" 12.20MTS","10"" 4"" 12.20MTS","","VIGA IPR 10"" X 4""  (22.00KG/MT) A 12.20MTS"
"DECIDIR","VIGA10X4(25.0KG)12.2","10"" 4"" 12.20 MTS","10"" 4"" 12.20 MTS","","VIGA IPR 10"" X 4"" (25.3KG/MT) A 12.20 MTS."
"DECIDIR","VIGA10(38.7KG/M)","10"" 5 3/4"" 12.20 MTS 3/4","10"" 5 3/4"" 12.20 MTS 3/4","","VIGA IPR 10"" X 5 3/4"" (38.7KG/MT) A 12.20 MTS"
"DECIDIR","VIGA10(44.6KG/MTS)","10"" 5 3/4"" 12.20 MTS 3/4","10"" 5 3/4"" 12.20 MTS 3/4","","VIGA IPR 10"" X 5 3/4"" (44.6KG/MT) A 12.20 MTS"
"DECIDIR","VIGA8X4-14.90A12.20","8"" 4"" 12.20 MTS","8"" 4"" 12.20 MTS","","VIGA IPR 8"" X 4"" (14.90 KG/MT) A 12.20 MTS"
"DECIDIR","VIGA","8"" 4"" 6.10 MTS","8"" 4"" 6.10 MTS","","VIGA IPR 8"" X 4"" (14.90 KG/MT) A 6.10 MTS"
"DECIDIR","VIGA8X4(19.5KG)12.20","8"" 4"" 12.20 MTS","8"" 4"" 12.20 MTS","","VIGA IPR 8"" X 4"" (19.50 KG/MT) A 12.20  MTS."
"DECIDIR","VIGAIPS4""11.46K/M12.","4"" 12.20 MTS","4"" 12.20 MTS","","VIGA IPS DE 4"" DE 11.46 KG/ML 12.20 MTS"
"DECIDIR","VIGAIPS4""11.46K/ML","4"" 6.10 MTS","4"" 6.10 MTS","","VIGA IPS DE 4"" DE 11.46 KG/ML 6.10 MTS"
"DECIDIR","CABALLOFC","550X370 370 MM","550X370 370 MM","","CABALLO FO. CO.( 550X370 MM)"
"DECIDIR","CECOCH","440X260 260MM","440X260 260MM","","CENEFA COLONIAL CHICA(440X260MM)REYES"
"DECIDIR","HROSAG","8X4 4CM","8X4 4CM","","HOJA DE ROSA GRANDE(8X4CM)"
"DECIDIR","MEDAME","C04","C04","","MEDALLON MEDIANO (REYES #C04)"
"DECIDIR","NUALTUBC3013","C30 1/2"" 1/2","C30 1/2"" 1/2","","NUDO DE ALAMBRON P/TUBO 1/2"" C30"
"DECIDIR","NUALTUBC3019","C30 3/4"" 3/4","C30 3/4"" 3/4","","NUDO DE ALAMBRON P/TUBO 3/4"" C30"
"DECIDIR","RESAN2X2.5CAL8","2.00 MTS 2.50 MTS","2.00 MTS 2.50 MTS","","REJA SAN REHNO 2.00 MTS X 2.50 MTS VERDE C-6"
"DECIDIR","RE5/161.20D","5/16"" 1.20MTS 5/16","5/16"" 1.20MTS 5/16","","RESORTE P/CORTINA 5/16"" X 1.20MTS. DER."
"DECIDIR","RE5/161.20I","5/16"" 1.20MTS 5/16","5/16"" 1.20MTS 5/16","","RESORTE P/CORTINA 5/16"" X 1.20MTS. IZQ."
"DECIDIR","LLLECH","225X175 175 MM","225X175 175 MM","","TOCADOR DE LEON FO.FO. (225X175 MM)"
"DECIDIR","CAAGUC24","C24 15 CM 3.05M","C24 15 CM 3.05M","","CANAL AGUA C24 15 CM X3.05M"
"DECIDIR","CAAGU","C26 10 CM 3.05M","C26 10 CM 3.05M","","CANAL AGUA C26 10 CM X3.05M"
"DECIDIR","TACASCG3X620","C20 3X6","C20 3X6","","TABLERO CASC. CAJA GDE. 3X6 C20"
"DECIDIR","MALLACI1.50CAL.12.50","CAL.12 1.50 MT 20MTS 50/20","CAL.12 1.50 MT 20MTS 50/20","","MALLA CICLON 1.50 MT. ALT./CAL.12.50/20MTS."
"DECIDIR","MALLACI1.75CAL.12.50","CAL.12 1.75 MT 20MTS 50/20","CAL.12 1.75 MT 20MTS 50/20","","MALLA CICLON 1.75 MT. ALT./CAL.12.50/20MTS."
"DECIDIR","MALLACI2CAL.12.50","CAL.12 2.00 MT 20 MTS 50/20","CAL.12 2.00 MT 20 MTS 50/20","","MALLA CICLON 2.00 MT. ALT./CAL.12.50/20 MTS."
"DECIDIR","BPVC2.95M","2.95M 6CM","2.95M 6CM","","BAJANTE PVC 2.95M X8CMX6CM"
"DECIDIR","BPVC4M","4M 6CM","4M 6CM","","BAJANTE PVC 4M X8CMX6CM"
"DECIDIR","CCENTRAL","13.50X8.50X10.50 7.5CM","13.50X8.50X10.50 7.5CM","","CAIDA CENTRAL PVC 13.50X8.50X10.50X7.5CM"
"DECIDIR","CAPVC2.95M","10.5X8.50X13.20 2.95M 13.20CM","10.5X8.50X13.20 2.95M 13.20CM","","CANAL PVC 2.95M X10.5X8.50X13.20CM"
"DECIDIR","CODO-INF-PVC","6.70X9X5 8CM","6.70X9X5 8CM","","CODO INFERIOR PVC 65° X6.70X9X5X8CM"
"DECIDIR","COLGANT-PVC","13X5 5CM","13X5 5CM","","COLGANTE PVC 13X5CM"
"DECIDIR","CONECT-PVC","13X11X8.5 8.5CM","13X11X8.5 8.5CM","","CONECTOR PVC 13X11X8.5CM"
"DECIDIR","TAPA-C","13X11X8.50 8.50CM","13X11X8.50 8.50CM","","JGO. TAPA CANAL PVC 13X11X8.50CM"
"DECIDIR","SOPORT-CANAL","8.50X12X14 14CM","8.50X12X14 14CM","","SOPORTE CANAL PVC 8.50X12X14CM"
"DECIDIR","U-BAJANT","9X6 6CM","9X6 6CM","","UBICADOR (ABRAZADERA)BAJANTE PVC 9X6CM"
"DECIDIR","DUELZ43M","43M","43M","","DUELA Z. DE 4 X .915 CUADRO MARRUECOS (43M)"
"DECIDIR","DUELZ86M","8 X 1.83 86M","8 X 1.83 86M","","DUELA Z. DE 8 X 1.83 CUADRO MARRUECOS (86M)"
"DECIDIR","DT100-065","10 CM 2 MTS","10 CM 2 MTS","","DUELA ZINTRO 10 CM X 2 MTS (100-065)"
"DECIDIR","DT100-100","10 CM 3.05 MTS","10 CM 3.05 MTS","","DUELA ZINTRO 10 CM X 3.05 MTS (100-100)"
"DECIDIR","DT20-065","2 CM 2 MTS","2 CM 2 MTS","","DUELA ZINTRO 2 CM X 2 MTS (20-065)"
"DECIDIR","DT40-065","4 CM 2 MTS","4 CM 2 MTS","","DUELA ZINTRO 4 CM X 2 MTS (40-065)"
"DECIDIR","DT40-100","4 CM 3.05 MTS","4 CM 3.05 MTS","","DUELA ZINTRO 4 CM X 3.05 MTS (40-100)"
"DECIDIR","DT060-065","6 CM 2 MTS","6 CM 2 MTS","","DUELA ZINTRO 6 CM X 2 MTS (060-065)"
"DECIDIR","DT060-100","6 CM 3.05 MTS","6 CM 3.05 MTS","","DUELA ZINTRO 6 CM X 3.05 MTS (060-100)"
