"fila","proveedor","codigo","descripcion","existencia"
"75","ABRASIVOS ESPECIALES, S.A DE C.V","D2718","DISCO 2718 LAMINADO G-80 4 1/2","0"
"76","ABRASIVOS ESPECIALES, S.A DE C.V","D2953","DISCO 2953  GRANO 60 DE 4 1/2 DE DESBASTE","0"
"77","ABRASIVOS ESPECIALES, S.A DE C.V","D2954","DISCO 2954  GRANO 80 DE 4 1/2 DE DESBASTE","0"
"78","ABRASIVOS ESPECIALES, S.A DE C.V","D2955","DISCO 2955  GRANO 120 DE 4 1/2 DE DESBASTE","0"
"79","ABRASIVOS ESPECIALES, S.A DE C.V","D2956","DISCO 2956  GRANO 180 DE 4 1/2 DE DESBASTE","0"
"80","ABRASIVOS ESPECIALES, S.A DE C.V","D2959","DISCO 2959  GRANO 320 DE 4 1/2 DE DESBASTE","0"
"81","ABRASIVOS ESPECIALES, S.A DE C.V","D2980","DISCO 2980 GRANO 40 DE 4 1/2 DE DESBASTE","0"
"82","ABRASIVOS ESPECIALES, S.A DE C.V","D2982","DISCO 2982 LAMINADO G-80 4 1/2","0"
"83","ABRASIVOS ESPECIALES, S.A DE C.V","D2988","DISCO 2988 GRANO 40 DE 4 1/2 DE DESBASTE","0"
"84","ABRASIVOS ESPECIALES, S.A DE C.V","D2989","DISCO 2989 GRANO 60 DE 4 1/2 DE DESBASTE","0"
"85","ABRASIVOS ESPECIALES, S.A DE C.V","D2990","DISCO 2990 LAMINADO G-80 4 1/2""","0"
"86","ABRASIVOS ESPECIALES, S.A DE C.V","D2995","DISCO 2995 GRANO 40 DE 7"" DE DESBASTE","0"
"87","ABRASIVOS ESPECIALES, S.A DE C.V","D2996","DISCO 2996 GRANO 60 DE 7"" DE DESBASTE","0"
"88","ABRASIVOS ESPECIALES, S.A DE C.V","D2997","DISCO 2997 GRANO 80 DE 7"" DE DESBASTE","0"
"89","ABRASIVOS ESPECIALES, S.A DE C.V","D3250","DISCO 3250 DIAMANTE DE 4""","0"
"90","ABRASIVOS ESPECIALES, S.A DE C.V","D3251","DISCO 3251 DIAMANTE DE 4""","0"
"91","ABRASIVOS ESPECIALES, S.A DE C.V","D3252","DISCO 3252 DIAMANTE DE 4""","0"
"92","ABRASIVOS ESPECIALES, S.A DE C.V","D3253","DISCO 3253 DIAMANTE DE 4""","0"
