"proveedor","codigo","descripcion"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","PM22.70KGS","POSICIONADOR MAGNETICO 22.70 KGS.(123281)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","ESQ75","POSICIONADOR MAGNETICO 34 KGS (ESQ75)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","PM34KG123282","POSICIONADOR MAGNETICO 34 KGS.(123282)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","ESQ100","POSICIONADOR MAGNETICO 45 KGS (ESQ100)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","117166","PUNTO PARA MARCAR 1/2"" X 6"" (117166) SURTEK"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","RAFIABCA","RAFIA BLANCA SURTEK (RAF001)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","RH5B","RODAJA HULE GIRATORIA C/FRENO 2""(RH5B)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","RY5PB","RODAJA YOYO ARO BASE 50 MM SURTEK (RY5PB)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","34014","SERRUCHO BIMAT.3PLE FILO 14 """
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","137459","TOPE ESTACIONAMIENTO 54CM X 16CM SURTEK (137459)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","151007","TROL 1000 KG. SURTEK (151007)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","151006","TROL 500 KG. SURTEK (151006)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","TROL151010","TROL 5000 KG. SURTEK (151010)"
"VICTOR HUGO HERNANDEZ AGUILAR","RIELC","RIEL O GUIA P/CORTINA EUR. 6.00 M"
"WAREZOM S.A DE C.V","DSB-250","GOGLES (BETA250)"
